34025	 dwtaš 	aw	三人称単数人称代名詞（彼、彼女）	ta	・・・個pos_num:sp_	dw	2
40021	 ba eaš 	aw	三人称単数人称代名詞（彼、彼女）	ba	（同伴、同居など）…と（共に）		
44074	 baeašwn 	ānea	彼ら	ba	（同伴、同居など）…と（共に）		
50068	 baeašwn 	ānea	彼ら	ba	（同伴、同居など）…と（共に）		
47040	 kre aš 	aw	三人称単数人称代名詞（彼、彼女）	kre	（馬、ろばなどの）子		
36032	 eyčke 	ke	・・・であるということ	eyč	（否定とともに）何も・・・ない		
32036	 ny 	ny		ne	（否定の答え）いいえ		
64014	 ny 	ny		ne	（否定の答え）いいえ		
44067	 bwdnt 	tw	お前	bwdn	・・・である		
54015	 xmyre 	xmyr	こね粉	bwdn	・・・である		
47043	 nystmw 	w	そして	bwdn	・・・である		
40002	 bwdš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
71002	 bwdš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
40001	 nbwdš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
44067	 estš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
37040	 estš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
40006	 estš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
40035	 estš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
41013	 estš 	aw	三人称単数人称代名詞（彼、彼女）	bwdn	・・・である		
37032	 mayly 	mayl	斜めの	bwdn	・・・である		
37050	 sware 	swar	乗馬者	bwdn	・・・である		
58044	 dzde 	dzd	泥棒	bwdn	・・・である		
55002	 ẓrfyst 	ẓrf	容器	bwdn	・・・である		
35026	 bysal 	sal	年	by	・・・なしに		
34060	 bem 	em	・・もまた	be	・・・に		
44079	 betwn 	šma	あなた	be	・・・に		
33006	 ber 	er	おのおのの	be	・・・に		
36015	 btw 	tw	お前	be	・・・に		
40009	 btw 	tw	お前	be	・・・に		
58004	 btw 	tw	お前	be	・・・に		
35005	 bet 	tw	お前	be	・・・に		
46008	 bet 	tw	お前	be	・・・に		
49012	 bet 	tw	お前	be	・・・に		
50004	 bet 	tw	お前	be	・・・に		
53019	 bet 	tw	お前	be	・・・に		
61006	 bet 	tw	お前	be	・・・に		
31024	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
32003	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
32004	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
38008	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
44022	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
46029	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
50074	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
56011	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
59033	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
59075	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
59077	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
34015	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
35002	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
35024	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
36049	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
37031	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
37038	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
37043	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
37051	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
40006	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
41054	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
42004	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
42014	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
44003	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
46002	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
46022	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
49010	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
49015	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
49027	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
49033	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
50004	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
50004	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
50035	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
53019	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
53023	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
53026	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
53028	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
53034	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
53046	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
53102	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
58004	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
58015	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
60003	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
61004	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
62006	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
62011	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
62015	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
62030	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
66012	 beš 	aw	三人称単数人称代名詞（彼、彼女）	be	・・・に		
40007	 bmn 	mn	私	be	・・・に		
41033	 bmn 	mn	私	be	・・・に		
41034	 bmn 	mn	私	be	・・・に		
61021	 bem 	mn	私	be	・・・に		
53071	 bemwn 	ma	私たち	be	・・・に		
50031	 bjayy 	ja	場所	be	・・・に		
54006	 bzmyn 	zmyn	地面	be	・・・に		
33004	 bešwn 	ānea	彼ら	be	・・・に		
44073	 bešwn 	ānea	彼ら	be	・・・に		
44073	 bešwn 	ānea	彼ら	be	・・・に		
59053	 bešwn 	ānea	彼ら	be	・・・に		
67028	 bsm 	asm	名前	be	・・・に		
32038	 bem 	mn1		be	・・・に		
49028	 myšdw 	w	そして	šdn	・・・になる		
40019	 šdš 	aw	三人称単数人称代名詞（彼、彼女）	šdn	・・・になる		
43019	 šde and 	bwdn	時制	šdn	・・・になる		
54003	 šdnšwn 	ānea	彼ら	šdn	・・・になる		
33006	 bratwn 	šma	あなた	bray	・・・のために		
31027	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
44084	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
50009	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
33007	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
61023	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
62021	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
62028	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
62034	 braš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
43002	 brayš 	aw	三人称単数人称代名詞（彼、彼女）	bray	・・・のために		
52004	 wasš 	aw	三人称単数人称代名詞（彼、彼女）	wase	・・・のために		
64005	 zyrš 	aw	三人称単数人称代名詞（彼、彼女）	zyr	・・・の下に		
43020	 zyrpa 	pa	足	zyr	・・・の下に		
35027	 bynšwn 	ānea	彼ら	byn	・・・の間に		
35028	 bynšwn 	ānea	彼ら	byn	・・・の間に		
36002	 rwš 	aw	三人称単数人称代名詞（彼、彼女）	rw	・・・の上に		
33009	 twš 	ān	あれ	tw	・・・の中に		
44075	 twš 	aw	三人称単数人称代名詞（彼、彼女）	tw	・・・の中に		
45034	 twš 	aw	三人称単数人称代名詞（彼、彼女）	tw	・・・の中に		
58005	 twš 	aw	三人称単数人称代名詞（彼、彼女）	tw	・・・の中に		
58012	 twrae 	rae	道	tw	・・・の中に		
58012	 twrae 	rae	道	tw	・・・の中に		
58022	 twrae 	rae	道	tw	・・・の中に		
58029	 twrae 	rae	道	tw	・・・の中に		
41021	 rm 	em	・・もまた	ra	・・・を		
37041	 awne 	ān	あれ	ra	・・・を		
37032	 mne 	mn	私	ra	・・・を		
45009	 mne 	mn	私	ra	・・・を		
59002	 ābw 	āb	水	ra	・・・を		
37035	 bemdany 	dana	学問がある	em	・・もまた		
45017	 emš 	aw	三人称単数人称代名詞（彼、彼女）	em	・・もまた		
49004	 bqlš 	aw	三人称単数人称代名詞（彼、彼女）	bql	…のそばに（で）		
34037	 drmywn 	myan	・・・の間に	dr	…の中に		
31052	 drš 	aw	三人称単数人称代名詞（彼、彼女）	dr	…の中に		
53011	 drš 	aw	三人称単数人称代名詞（彼、彼女）	dr	…の中に		
67016	 drš 	aw	三人称単数人称代名詞（彼、彼女）	dr	…の中に		
39008	 drbalay 	bala	上部	dr	…の中に		
31032	 drše 	šdn		dr	…の中に		
65005	 dwnš 	aw	三人称単数人称代名詞（彼、彼女）	dane	…個		
65006	 dwnš 	aw	三人称単数人称代名詞（彼、彼女）	dane	…個		
46037	 šmast 	bwdn	・・・である	šma	あなた		
53020	 awne 	ra	・・・を	ān	あれ		
53069	 awne 	ra	・・・を	ān	あれ		
33004	 awnw 	ra	・・・を	ān	あれ		
34017	 awnw 	ra	・・・を	ān	あれ		
36022	 awnw 	ra	・・・を	ān	あれ		
40026	 awnw 	ra	・・・を	ān	あれ		
40034	 awnw 	ra	・・・を	ān	あれ		
43040	 awnw 	ra	・・・を	ān	あれ		
65014	 awnw 	ra	・・・を	ān	あれ		
71008	 awnw 	ra	・・・を	ān	あれ		
49026	 awnm 	em	・・もまた	ān	あれ		
50018	 awnm 	em	・・もまた	ān	あれ		
53090	 awnm 	em	・・もまた	ān	あれ		
62030	 andfe 	df'e	回	ān	あれ		
50052	 čŕdm 	em	・・もまた	čŕdr	いかほど		
42014	 babam 	bwdn	・・・である	baba	おとうちゃん		
61007	 babat 	tw	お前	baba	おとうちゃん		
62016	 babat 	tw	お前	baba	おとうちゃん		
42011	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
42012	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
61004	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
61008	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
61009	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
71007	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
71010	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
71016	 babaš 	aw	三人称単数人称代名詞（彼、彼女）	baba	おとうちゃん		
39018	 babam 	mn	私	baba	おとうちゃん		
37035	 erjwr 	jwr	種類	er	おのおのの		
34038	 erja 	ja	場所	er	おのおのの		
68004	 erja 	ja	場所	er	おのおのの		
71011	 erţwry 	ţwr	方法	er	おのおのの		
44071	 erjwry 	jwry	類別	er	おのおのの		
32003	 erwŕt 	wŕt		er	おのおのの		
41041	 twam 	bwdn	・・・である	tw	お前		
45023	 tra 	ra	・・・を	tw	お前		
53099	 tra 	ra	・・・を	tw	お前		
46051	 trw 	ra	・・・を	tw	お前		
50072	 trw 	ra	・・・を	tw	お前		
50073	 trw 	ra	・・・を	tw	お前		
50076	 trw 	ra	・・・を	tw	お前		
57052	 qazrm 	mn	私	qaz	がちょう		
44044	 ajaŕšwn 	ānea	彼ら	ajaŕ	かまど		
56020	 ŕlaŕm 	em	・・もまた	klaq	からす		
53016	 arznm 	mn	私	arzn	きび		
52009	 kylwe 	bwdn	・・・である	kylw	キロ		
41019	 xrjynm 	em	・・もまた	xrjyn	くら袋		
41026	 xrjynw 	w	そして	xrjyn	くら袋		
68006	 grdwfrwš 	frwš	販売	grdw	くるみ		
54018	 d'wamwn 	ma	私たち	d'wa	けんか		
47041	 d'wašan 	ānea	彼ら	d'wa	けんか		
47052	 d'wašan 	ānea	彼ら	d'wa	けんか		
33009	 ayne 	bwdn	・・・である	ayn	この		
34036	 ayne 	bwdn	・・・である	ayn	この		
35009	 ayne 	bwdn	・・・である	ayn	この		
35026	 ayne 	bwdn	・・・である	ayn	この		
43025	 ayne 	bwdn	・・・である	ayn	この		
44048	 ayne 	bwdn	・・・である	ayn	この		
46064	 ayne 	bwdn	・・・である	ayn	この		
46065	 ayne 	bwdn	・・・である	ayn	この		
57049	 ayne 	bwdn	・・・である	ayn	この		
67006	 ayne 	bwdn	・・・である	ayn	この		
33012	 aynke 	ke	・・・であるということ	ayn	この		
34010	 aynke 	ke	・・・であるということ	ayn	この		
34014	 aynke 	ke	・・・であるということ	ayn	この		
34049	 aynke 	ke	・・・であるということ	ayn	この		
33010	 aynw 	ra	・・・を	ayn	この		
38003	 aynw 	ra	・・・を	ayn	この		
31051	 aynam 	em	・・もまた	ayn	この		
47040	 aynam 	em	・・もまた	ayn	この		
34043	 ay=n==m 	em	・・もまた	ayn	この		
34053	 aynm 	em	・・もまた	ayn	この		
37056	 aynm 	em	・・もまた	ayn	この		
41018	 aynm 	em	・・もまた	ayn	この		
41048	 aynm 	em	・・もまた	ayn	この		
42007	 aynm 	em	・・もまた	ayn	この		
50057	 aynm 	em	・・もまた	ayn	この		
53001	 aynm 	em	・・もまた	ayn	この		
53053	 aynm 	em	・・もまた	ayn	この		
53090	 aynm 	em	・・もまた	ayn	この		
57007	 aynm 	em	・・もまた	ayn	この		
59013	 aynm 	em	・・もまた	ayn	この		
67024	 aynm 	em	・・もまた	ayn	この		
37017	 aynw 	w	そして	ayn	この		
37045	 aynw 	w	そして	ayn	この		
62025	 andfe 	df'e	回	ayn	この		
53082	 ayn ea	ea	名詞複数形語尾	ayn	この		
58044	 ayna 	ea	名詞複数形語尾	ayn	この		
34014	 ayn nw 	ra		ayn	この		
36033	 ayn nw 	ra		ayn	この		
42010	 ayn nw 	ra		ayn	この		
31028	 ayne 	ra		ayn	この		
32025	 ayne 	ra		ayn	この		
37043	 ayne 	ra		ayn	この		
41025	 ayne 	ra		ayn	この		
41037	 ayne 	ra		ayn	この		
48026	 ayne 	ra		ayn	この		
48027	 ayne 	ra		ayn	この		
49021	 ayne 	ra		ayn	この		
53019	 ayne 	ra		ayn	この		
57005	 ayne 	ra		ayn	この		
58046	 ayne 	ra		ayn	この		
71016	 ayne 	ra		ayn	この		
71017	 ayne 	ra		ayn	この		
31052	 aynw 	ra		ayn	この		
34002	 aynw 	ra		ayn	この		
34029	 aynw 	ra		ayn	この		
34029	 aynw 	ra		ayn	この		
34047	 aynw 	ra		ayn	この		
34050	 aynw 	ra		ayn	この		
34050	 aynw 	ra		ayn	この		
34051	 aynw 	ra		ayn	この		
34056	 aynw 	ra		ayn	この		
37015	 aynw 	ra		ayn	この		
41038	 aynw 	ra		ayn	この		
46054	 aynw 	ra		ayn	この		
48028	 aynw 	ra		ayn	この		
49025	 aynw 	ra		ayn	この		
49026	 aynw 	ra		ayn	この		
49031	 aynw 	ra		ayn	この		
53009	 aynw 	ra		ayn	この		
53022	 aynw 	ra		ayn	この		
58003	 aynw 	ra		ayn	この		
58006	 aynw 	ra		ayn	この		
58017	 aynw 	ra		ayn	この		
58033	 aynw 	ra		ayn	この		
59082	 aynw 	ra		ayn	この		
65006	 aynw 	ra		ayn	この		
67002	 aynw 	ra		ayn	この		
71011	 aynw 	ra		ayn	この		
34023	 aynke 	ke1		ayn	この		
34055	 aynke 	ke1		ayn	この		
36003	 aynke 	ke1		ayn	この		
36030	 aynke 	ke1		ayn	この		
37005	 aynke 	ke1		ayn	この		
37014	 aynke 	ke1		ayn	この		
37031	 aynke 	ke1		ayn	この		
44005	 aynke 	ke1		ayn	この		
50006	 aynke 	ke1		ayn	この		
50008	 aynke 	ke1		ayn	この		
50028	 aynke 	ke1		ayn	この		
50057	 aynke 	ke1		ayn	この		
50067	 aynke 	ke1		ayn	この		
50071	 aynke 	ke1		ayn	この		
50073	 aynke 	ke1		ayn	この		
50074	 aynke 	ke1		ayn	この		
53012	 aynke 	ke1		ayn	この		
53012	 aynke 	ke1		ayn	この		
58012	 aynke 	ke1		ayn	この		
58034	 aynke 	ke1		ayn	この		
59020	 aynke 	ke1		ayn	この		
59040	 aynke 	ke1		ayn	この		
63023	 aynke 	ke1		ayn	この		
63029	 aynke 	ke1		ayn	この		
66014	 flanja 	ja	場所	flan	これこれの		
56015	 pyrnš 	aw	三人称単数人称代名詞（彼、彼女）	pyraen	シャツ		
53121	 pyrnmw 	ma	私たち	pyraen	シャツ		
47017	 nšanš 	aw	三人称単数人称代名詞（彼、彼女）	nšan	しるし		
53061	 emš 	aw	三人称単数人称代名詞（彼、彼女）	eme	すべて		
50082	 emšwn 	ānea	彼ら	eme	すべて		
53122	 eme šwn 	ānea	彼ら	eme	すべて		
47032	 awnjast 	bwdn	・・・である	ānja	そこ（で、に）		
49002	 wawn 	ān	あれ	w	そして		
58050	 wayn 	ayn	この	w	そして		
40027	 watfaŕa 	atfaŕa	偶然に	w	そして		
53084	 gwlšwn 	ānea	彼ら	gwl	だますこと		
46026	 kjast 	bwdn	・・・である	kja	どこに		
50064	 kjast 	bwdn	・・・である	kja	どこに		
35011	 kdwmš 	aw	あれ、それ	kdam	どちら		
35011	 kdwmš 	aw	あれ、それ	kdam	どちら		
35008	 čye 	bwdn	・・・である	če	なに		
45018	 čye 	bwdn	・・・である	če	なに		
45022	 čye 	bwdn	・・・である	če	なに		
46063	 čye 	bwdn	・・・である	če	なに		
57025	 čye 	bwdn	・・・である	če	なに		
58018	 čye 	bwdn	・・・である	če	なに		
44045	 čye 	bwdn	・・・である	če	なに		
44046	 čye 	bwdn	・・・である	če	なに		
47049	 čye 	bwdn	・・・である	če	なに		
53013	 čye 	bwdn	・・・である	če	なに		
53062	 čye 	bwdn	・・・である	če	なに		
58051	 čye 	bwdn	・・・である	če	なに		
47020	 čyke 	ke	・・・であるということ	če	なに		
47028	 čyke 	ke	・・・であるということ	če	なに		
47029	 čyke 	ke	・・・であるということ	če	なに		
56011	 čkar 	kar	仕事	če	なに		
56011	 čkar 	kar	仕事	če	なに		
56012	 čkar 	kar	仕事	če	なに		
58054	 čkar 	kar	仕事	če	なに		
61024	 čkar 	kar	仕事	če	なに		
69014	 čkar 	kar	仕事	če	なに		
44032	 čykar 	kar	仕事	če	なに		
31031	 čye 	bwdn		če	なに		
31047	 čţwr 	ţwr		če	なに		
40007	 tšnš 	aw	三人称単数人称代名詞（彼、彼女）	tšne	のどが渇いた		
53029	 tšne aš 	aw	三人称単数人称代名詞（彼、彼女）	tšne	のどが渇いた		
58023	 klšwn 	ānea	彼ら	kl	はげの		
37030	 ħsn 	bwdn	・・・である	ħsn2	ハサン（人名）		
46031	 nwnw 	ra	・・・を	nan	パン		
46053	 nwnw 	ra	・・・を	nan	パン		
46054	 nwnw 	ra	・・・を	nan	パン		
57016	 nwnšw 	aw	三人称単数人称代名詞（彼、彼女）	nan	パン		
57016	 nwnm 	mn	私	nan	パン		
57016	 nwnm 	mn	私	nan	パン		
34050	 dyge aš 	aw	三人称単数人称代名詞（彼、彼女）	dygr	ほか		
31017	 jybš 	 他称-単数-男-_	aw	jyb	ポケット		
31017	 jybš 	 他称-単数-男-_	aw	jyb	ポケット		
41023	 jybš 	aw	三人称単数人称代名詞（彼、彼女）	jyb	ポケット		
50040	 emynjwr 	jwr	種類	emyn	まさしくこの		
50037	 emynjwry 	jwr	種類	emyn	まさしくこの		
60005	 emynjwry 	jwr	種類	emyn	まさしくこの		
71017	 mamantw 	tw	お前	maman	ママ		
53117	 mamanšwn 	ānea	彼ら	maman	ママ		
