27055	anša°lle	alea°	おお神よ！				
19008	ba	ba	（同伴、同居など）…と（共に）				
20006	ba	ba	（同伴、同居など）…と（共に）				
21023	ba	ba	（同伴、同居など）…と（共に）				
22022	ba	ba	（同伴、同居など）…と（共に）				
22026	ba	ba	（同伴、同居など）…と（共に）				
22057	ba	ba	（同伴、同居など）…と（共に）				
21065	ba	ba	（同伴、同居など）…と（共に）				
22130	ba	ba	（同伴、同居など）…と（共に）				
26024	ba	ba	（同伴、同居など）…と（共に）				
27003	ba	ba	（同伴、同居など）…と（共に）				
27039	ba	ba	（同伴、同居など）…と（共に）				
28073	ba	ba	（同伴、同居など）…と（共に）				
28087	ba	ba	（同伴、同居など）…と（共に）				
29037	ba	ba	（同伴、同居など）…と（共に）				
29046	ba	ba	（同伴、同居など）…と（共に）				
30025	ba	ba	（同伴、同居など）…と（共に）				
29004	ba	ba	（同伴、同居など）…と（共に）				
29007	ba	ba	（同伴、同居など）…と（共に）				
30018	ba	ba	（同伴、同居など）…と（共に）				
11021	baz	baz	再び				
17042	baz	baz	再び				
22095	baz	baz	再び				
22133	baz	baz	再び				
22150	baz	baz	再び				
23050	baz	baz	再び				
29039	baz	baz	再び				
11021	balaxre	balaxre	とうとう				
15009	balaxre	balaxre	とうとう				
15014	balaxre	balaxre	とうとう				
15023	balaxre	balaxre	とうとう				
15029	balaxre	balaxre	とうとう				
15037	balaxre	balaxre	とうとう				
15037	balaxre	balaxre	とうとう				
15042	balaxre	balaxre	とうとう				
15047	balaxre	balaxre	とうとう				
15050	balaxre	balaxre	とうとう				
15050	balaxre	balaxre	とうとう				
22027	balaxre	balaxre	とうとう				
24006	balaxre	balaxre	とうとう				
27046	balaxre	balaxre	とうとう				
28081	balaxre	balaxre	とうとう				
21047	baem	baem	ともに				
12011	br	br	・・・の上に				
12016	br	br	・・・の上に				
13065	br	br	・・・の上に				
14006	wr	br	・・・の上に				
14007	wr	br	・・・の上に				
15015	br	br	・・・の上に				
19011	br	br	・・・の上に				
20035	br	br	・・・の上に				
22131	br	br	・・・の上に				
22132	br	br	・・・の上に				
23038	br	br	・・・の上に				
23009	br	br	・・・の上に				
25016	br	br	・・・の上に				
27008	wr	br	・・・の上に				
27020	wr	br	・・・の上に				
27039	br	br	・・・の上に				
28034	wr	br	・・・の上に				
28035	wr	br	・・・の上に				
28067	br	br	・・・の上に				
28085	wr	br	・・・の上に				
28088	br	br	・・・の上に				
28092	wr	br	・・・の上に				
30015	br	br	・・・の上に				
29039	br	br	・・・の上に				
30016	br	br	・・・の上に				
30023	br	br	・・・の上に				
13018	br	br	動詞の接頭辞として用いられる				
13018	br	br	動詞の接頭辞として用いられる				
13021	br	br	動詞の接頭辞として用いられる				
13029	wr	br	動詞の接頭辞として用いられる				
13031	br	br	動詞の接頭辞として用いられる				
13039	wr	br	動詞の接頭辞として用いられる				
13041	wr	br	動詞の接頭辞として用いられる				
13042	wr	br	動詞の接頭辞として用いられる				
13046	wr	br	動詞の接頭辞として用いられる				
13046	wr	br	動詞の接頭辞として用いられる				
13047	wr	br	動詞の接頭辞として用いられる				
13047	wr	br	動詞の接頭辞として用いられる				
13047	wr	br	動詞の接頭辞として用いられる				
13065	br	br	動詞の接頭辞として用いられる				
13065	wr	br	動詞の接頭辞として用いられる				
15030	br	br	動詞の接頭辞として用いられる				
15031	br	br	動詞の接頭辞として用いられる				
15036	br	br	動詞の接頭辞として用いられる				
15048	wr	br	動詞の接頭辞として用いられる				
13021	wr	br	動詞の接頭辞として用いられる				
13021	wr	br	動詞の接頭辞として用いられる				
13050	wr	br	動詞の接頭辞として用いられる				
16012	br	br	動詞の接頭辞として用いられる				
16045	wr	br	動詞の接頭辞として用いられる				
17022	br	br	動詞の接頭辞として用いられる				
17024	br	br	動詞の接頭辞として用いられる				
17027	br	br	動詞の接頭辞として用いられる				
17035	br	br	動詞の接頭辞として用いられる				
17036	br	br	動詞の接頭辞として用いられる				
17040	br	br	動詞の接頭辞として用いられる				
17041	br	br	動詞の接頭辞として用いられる				
17041	br	br	動詞の接頭辞として用いられる				
17041	br	br	動詞の接頭辞として用いられる				
17042	br	br	動詞の接頭辞として用いられる				
17042	br	br	動詞の接頭辞として用いられる				
17046	br	br	動詞の接頭辞として用いられる				
18005	br	br	動詞の接頭辞として用いられる				
18040	br	br	動詞の接頭辞として用いられる				
19005	br	br	動詞の接頭辞として用いられる				
19009	br	br	動詞の接頭辞として用いられる				
20005	wr	br	動詞の接頭辞として用いられる				
20005	wr	br	動詞の接頭辞として用いられる				
20007	br	br	動詞の接頭辞として用いられる				
20011	br	br	動詞の接頭辞として用いられる				
20016	br	br	動詞の接頭辞として用いられる				
20023	br	br	動詞の接頭辞として用いられる				
20029	br	br	動詞の接頭辞として用いられる				
20029	wr	br	動詞の接頭辞として用いられる				
16048	wr	br	動詞の接頭辞として用いられる				
18055	br	br	動詞の接頭辞として用いられる				
18056	br	br	動詞の接頭辞として用いられる				
20008	br	br	動詞の接頭辞として用いられる				
20015	br	br	動詞の接頭辞として用いられる				
20015	br	br	動詞の接頭辞として用いられる				
20022	br	br	動詞の接頭辞として用いられる				
20035	wr	br	動詞の接頭辞として用いられる				
21053	br	br	動詞の接頭辞として用いられる				
13039	bra	bray	・・・のために				
15015	bray	bray	・・・のために				
15046	bray	bray	・・・のために				
13018	bray	bray	・・・のために				
18009	by	bray	・・・のために				
18049	by	bray	・・・のために				
18055	by	bray	・・・のために				
21006	bray	bray	・・・のために				
21013	bray	bray	・・・のために				
21019	bray	bray	・・・のために				
21025	bray	bray	・・・のために				
21026	bray	bray	・・・のために				
21054	bray	bray	・・・のために				
21055	bray	bray	・・・のために				
21060	bray	bray	・・・のために				
21061	bray	bray	・・・のために				
21062	bray	bray	・・・のために				
21065	bray	bray	・・・のために				
22020	bray	bray	・・・のために				
22037	bray	bray	・・・のために				
22055	bray	bray	・・・のために				
21005	bray	bray	・・・のために				
21043	bray	bray	・・・のために				
21058	bray	bray	・・・のために				
25011	bra	bray	・・・のために				
27028	wase	bray	・・・のために				
27031	wase	bray	・・・のために				
28070	bray	bray	・・・のために				
28070	bray	bray	・・・のために				
28105	bray	bray	・・・のために				
28106	bray	bray	・・・のために				
29022	bray	bray	・・・のために				
29039	bray	bray	・・・のために				
14015	b'da	b'da	後に				
24013	b'da	b'da	後に				
24016	b'da	b'da	後に				
27027	b'd	b'da	後に				
29019	b'da	b'da	後に				
12022	blke	blke	恐らく				
27017	are	ble	（肯定の返事）はい				
13051	are	ble	（肯定の返事）はい				
13060	are	ble	（肯定の返事）はい				
13062	ble	ble	（肯定の返事）はい				
13064	are	ble	（肯定の返事）はい				
13058	are	ble	（肯定の返事）はい				
14018	are	ble	（肯定の返事）はい				
14018	are	ble	（肯定の返事）はい				
14020	are	ble	（肯定の返事）はい				
17021	are	ble	（肯定の返事）はい				
16032	ble	ble	（肯定の返事）はい				
18056	ble	ble	（肯定の返事）はい				
20010	ble	ble	（肯定の返事）はい				
20017	are	ble	（肯定の返事）はい				
20025	are	ble	（肯定の返事）はい				
20034	are	ble	（肯定の返事）はい				
22058	ble	ble	（肯定の返事）はい				
22077	ble	ble	（肯定の返事）はい				
22102	ble	ble	（肯定の返事）はい				
22113	ble	ble	（肯定の返事）はい				
27014	are	ble	（肯定の返事）はい				
27033	are	ble	（肯定の返事）はい				
29024	are	ble	（肯定の返事）はい				
11021	be	be	・・・に				
12006	be	be	・・・に				
12009	be	be	・・・に				
12013	be	be	・・・に				
12014	be	be	・・・に				
12019	be	be	・・・に				
13007	be	be	・・・に				
13008	be	be	・・・に				
13011	be	be	・・・に				
13012	be	be	・・・に				
13013	be	be	・・・に				
13014	be	be	・・・に				
13014	be	be	・・・に				
13015	be	be	・・・に				
13019	be	be	・・・に				
13021	be	be	・・・に				
13024	be	be	・・・に				
13024	be	be	・・・に				
13025	be	be	・・・に				
13031	be	be	・・・に				
13032	be	be	・・・に				
13036	be	be	・・・に				
13041	be	be	・・・に				
13043	be	be	・・・に				
13065	be	be	・・・に				
14006	be	be	・・・に				
14006	be	be	・・・に				
14007	be	be	・・・に				
14007	be	be	・・・に				
14010	be	be	・・・に				
14011	be	be	・・・に				
14013	be	be	・・・に				
15023	be	be	・・・に				
15026	be	be	・・・に				
15042	be	be	・・・に				
15048	be	be	・・・に				
13010	be	be	・・・に				
13020	be	be	・・・に				
13020	be	be	・・・に				
13021	be	be	・・・に				
13021	be	be	・・・に				
13041	be	be	・・・に				
13043	be	be	・・・に				
13065	be	be	・・・に				
13065	be	be	・・・に				
13050	be	be	・・・に				
13050	be	be	・・・に				
18039	be	be	・・・に				
16009	be	be	・・・に				
16013	be	be	・・・に				
16030	be	be	・・・に				
16052	be	be	・・・に				
17005	be	be	・・・に				
17009	be	be	・・・に				
17010	be	be	・・・に				
17011	be	be	・・・に				
17016	be	be	・・・に				
17022	be	be	・・・に				
17026	be	be	・・・に				
17027	be	be	・・・に				
17030	be	be	・・・に				
17035	be	be	・・・に				
17036	be	be	・・・に				
17036	be	be	・・・に				
17036	be	be	・・・に				
18018	be	be	・・・に				
18025	be	be	・・・に				
18029	be	be	・・・に				
18057	be	be	・・・に				
18058	be	be	・・・に				
19005	be	be	・・・に				
19009	be	be	・・・に				
19011	be	be	・・・に				
20005	be	be	・・・に				
20006	be	be	・・・に				
20011	be	be	・・・に				
20016	be	be	・・・に				
20029	be	be	・・・に				
20029	be	be	・・・に				
20033	be	be	・・・に				
20037	be	be	・・・に				
16027	be	be	・・・に				
17028	be	be	・・・に				
18032	be	be	・・・に				
18041	be	be	・・・に				
18064	be	be	・・・に				
20031	be	be	・・・に				
21008	be	be	・・・に				
21010	be	be	・・・に				
21028	be	be	・・・に				
21030	be	be	・・・に				
21034	be	be	・・・に				
21037	be	be	・・・に				
21039	be	be	・・・に				
21040	be	be	・・・に				
21046	be	be	・・・に				
21046	be	be	・・・に				
21055	be	be	・・・に				
21060	be	be	・・・に				
21068	be	be	・・・に				
21072	be	be	・・・に				
21074	be	be	・・・に				
21075	be	be	・・・に				
22040	be	be	・・・に				
22041	be	be	・・・に				
22063	be	be	・・・に				
22087	be	be	・・・に				
22096	be	be	・・・に				
22111	be	be	・・・に				
22121	be	be	・・・に				
22123	be	be	・・・に				
22148	be	be	・・・に				
22159	be	be	・・・に				
22160	be	be	・・・に				
22160	be	be	・・・に				
21022	be	be	・・・に				
21029	be	be	・・・に				
21035	be	be	・・・に				
21037	be	be	・・・に				
21041	be	be	・・・に				
21043	be	be	・・・に				
21045	be	be	・・・に				
21058	be	be	・・・に				
22016	be	be	・・・に				
22044	be	be	・・・に				
22064	be	be	・・・に				
22081	be	be	・・・に				
22082	be	be	・・・に				
22093	be	be	・・・に				
22114	be	be	・・・に				
22132	be	be	・・・に				
22139	be	be	・・・に				
22141	be	be	・・・に				
22145	be	be	・・・に				
22154	be	be	・・・に				
21047	be	be	・・・に				
22028	be	be	・・・に				
22043	be	be	・・・に				
22054	be	be	・・・に				
22062	be	be	・・・に				
22073	be	be	・・・に				
22118	be	be	・・・に				
23003	be	be	・・・に				
23006	be	be	・・・に				
23009	be	be	・・・に				
23012	be	be	・・・に				
23013	be	be	・・・に				
23018	be	be	・・・に				
23021	be	be	・・・に				
23023	be	be	・・・に				
23024	be	be	・・・に				
23027	be	be	・・・に				
23053	be	be	・・・に				
24004	be	be	・・・に				
24008	be	be	・・・に				
24009	be	be	・・・に				
24014	be	be	・・・に				
23012	be	be	・・・に				
23014	be	be	・・・に				
23019	be	be	・・・に				
24006	ta	be	・・・に				
25005	ta	be	・・・に				
25002	be	be	・・・に				
25002	be	be	・・・に				
25004	be	be	・・・に				
25014	be	be	・・・に				
25027	be	be	・・・に				
26006	be	be	・・・に				
26007	be	be	・・・に				
26019	be	be	・・・に				
26035	be	be	・・・に				
26005	be	be	・・・に				
26005	be	be	・・・に				
26020	ta	be	・・・に				
26023	be	be	・・・に				
26025	be	be	・・・に				
26035	be	be	・・・に				
25013	be	be	・・・に				
26005	be	be	・・・に				
27009	be	be	・・・に				
27020	be	be	・・・に				
27025	be	be	・・・に				
27027	be	be	・・・に				
27036	be	be	・・・に				
27037	be	be	・・・に				
27048	be	be	・・・に				
27050	be	be	・・・に				
27053	be	be	・・・に				
28006	ta	be	・・・に				
28012	be	be	・・・に				
28013	be	be	・・・に				
28015	be	be	・・・に				
28042	be	be	・・・に				
28043	be	be	・・・に				
28044	be	be	・・・に				
28055	be	be	・・・に				
28056	be	be	・・・に				
28061	be	be	・・・に				
28074	be	be	・・・に				
28077	be	be	・・・に				
28078	be	be	・・・に				
28081	be	be	・・・に				
28088	be	be	・・・に				
28090	be	be	・・・に				
28092	be	be	・・・に				
27022	be	be	・・・に				
27027	be	be	・・・に				
27047	be	be	・・・に				
28006	be	be	・・・に				
28056	be	be	・・・に				
28088	be	be	・・・に				
28014	be	be	・・・に				
28109	be	be	・・・に				
27048	be	be	・・・に				
29002	be	be	・・・に				
29007	be	be	・・・に				
30005	be	be	・・・に				
30008	be	be	・・・に				
30011	be	be	・・・に				
30034	be	be	・・・に				
30035	be	be	・・・に				
29033	be	be	・・・に				
29059	be	be	・・・に				
30005	be	be	・・・に				
30014	be	be	・・・に				
30016	be	be	・・・に				
30027	be	be	・・・に				
30027	be	be	・・・に				
29041	be	be	・・・に				
30009	be	be	・・・に				
30016	be	be	・・・に				
30016	be	be	・・・に				
23032	be	be	・・・に;				
23029	be	be	・・・に;				
23036	be	be	・・・に;				
23037	be	be	・・・に;				
23037	be	be	・・・に;				
23041	be	be	・・・に;				
23045	be	be	・・・に;				
23047	be	be	・・・に;				
23048	be	be	・・・に;				
23051	be	be	・・・に;				
23028	be	be	・・・に;				
29041	bet	be	・・・に	tw	お前		
21062	by	by	・・・なしに				
28038	by	by	・・・なしに				
28057	by	by	・・・なしに				
28005	by	by	・・・なしに				
13005	byrxt	by	・・・なしに	rxt	衣服		
30019	p	p	不明				
12011	ta	ta	・・・まで				
12015	ta	ta	・・・まで				
12019	ta	ta	・・・まで				
14013	ta	ta	・・・まで				
15002	ta	ta	・・・まで				
15037	ta	ta	・・・まで				
15050	ta	ta	・・・まで				
17024	ta	ta	・・・まで				
17028	ta	ta	・・・まで				
18011	ta	ta	・・・まで				
18019	ta	ta	・・・まで				
18042	ta	ta	・・・まで				
18050	ta	ta	・・・まで				
18052	ta	ta	・・・まで				
18059	ta	ta	・・・まで				
18065	ta	ta	・・・まで				
20007	ta	ta	・・・まで				
18045	ta	ta	・・・まで				
22136	ta	ta	・・・まで				
21018	ta	ta	・・・まで				
21026	ta	ta	・・・まで				
21037	ta	ta	・・・まで				
21038	ta	ta	・・・まで				
21041	ta	ta	・・・まで				
21042	ta	ta	・・・まで				
21045	ta	ta	・・・まで				
21058	ta	ta	・・・まで				
22011	ta	ta	・・・まで				
22027	ta	ta	・・・まで				
22060	ta	ta	・・・まで				
22066	ta	ta	・・・まで				
22096	ta	ta	・・・まで				
22128	ta	ta	・・・まで				
22142	ta	ta	・・・まで				
21047	ta	ta	・・・まで				
21067	ta	ta	・・・まで				
23005	ta	ta	・・・まで				
23050	ta	ta	・・・まで				
11011	tŕryba	tŕryba	およそ				
22099	čra	čra	なぜ				
22022	čra	čra	なぜ				
22036	čra	čra	なぜ				
22093	čra	čra	なぜ				
22116	čra	čra	なぜ				
22098	čra	čra	なぜ				
23030	čra	čra	なぜ				
26013	čra	čra	なぜ				
28026	čra	čra	なぜ				
28055	čra	čra	なぜ				
27013	čra	čra	なぜ				
28004	čra	čra	なぜ				
28007	čra	čra	なぜ				
28021	čra	čra	なぜ				
28028	čra	čra	なぜ				
28100	čra	čra	なぜ				
29061	čra	čra	なぜ				
29019	čra	čra	なぜ				
29029	čra	čra	なぜ				
29030	čra	čra	なぜ				
20020	čţwry	čţwr	いかに				
20015	čţwr	čţwr	いかに				
22057	čeţwr	čţwr	いかに				
23017	če jwry	čţwr	いかに				
28090	čţwr	čţwr	いかに				
28090	čţwr	čţwr	いかに				
21021	čŕdr	čŕdr	いかほど				
21028	čŕdr	čŕdr	いかほど				
21034	čŕdr	čŕdr	いかほど				
22113	čŕdr	čŕdr	いかほど				
12005	čwn	čwn	・・・なので				
15036	čwn	čwn	・・・なので				
16029	čwn	čwn	・・・なので				
17046	čwn	čwn	・・・なので				
19012	čwn	čwn	・・・なので				
20035	čwn	čwn	・・・なので				
22148	čwn	čwn	・・・なので				
22023	čwn	čwn	・・・なので				
22081	čwn	čwn	・・・なので				
22132	čwn	čwn	・・・なので				
22157	čwn	čwn	・・・なので				
21075	čwn	čwn	・・・なので				
23037	čwn	čwn	・・・なので				
29017	čwn	čwn	・・・なので				
11017	ħala	ħala	今				
11022	ħala	ħala	今				
13029	ħala	ħala	今				
13036	ħala	ħala	今				
13050	ħala	ħala	今				
16044	ħala	ħala	今				
17021	ħala	ħala	今				
20011	ħala	ħala	今				
20031	ħala	ħala	今				
22045	ħala	ħala	今				
22022	ħala	ħala	今				
22081	ħala	ħala	今				
22096	ħala	ħala	今				
22157	ħala	ħala	今				
22087	ħala	ħala	今				
24019	ħala	ħala	今				
23015	ħala	ħala	今				
25033	ħala	ħala	今				
27048	ħala	ħala	今				
28039	ħala	ħala	今				
27015	ħala	ħala	今				
28014	ħala	ħala	今				
29057	ħala	ħala	今				
22024	ħtma	ħtma	確かに				
22107	ħtma	ħtma	確かに				
27047	ħtma	ħtma	確かに				
11001	dr	dr	…の中に				
12002	dr	dr	…の中に				
12015	dr	dr	…の中に				
13005	dr	dr	…の中に				
13007	dr	dr	…の中に				
13025	dr	dr	…の中に				
15016	dr	dr	…の中に				
15034	dr	dr	…の中に				
16022	dr	dr	…の中に				
16028	dr	dr	…の中に				
16033	dr	dr	…の中に				
16056	dr	dr	…の中に				
17017	dr	dr	…の中に				
17021	dr	dr	…の中に				
17026	dr	dr	…の中に				
17030	dr	dr	…の中に				
17035	dr	dr	…の中に				
17037	dr	dr	…の中に				
17041	dr	dr	…の中に				
17041	dr	dr	…の中に				
17044	dr	dr	…の中に				
17048	dr	dr	…の中に				
18001	dr	dr	…の中に				
18005	dr	dr	…の中に				
18052	dr	dr	…の中に				
19001	dr	dr	…の中に				
16027	dr	dr	…の中に				
17040	dr	dr	…の中に				
17040	dr	dr	…の中に				
17043	dr	dr	…の中に				
21023	dr	dr	…の中に				
21027	dr	dr	…の中に				
21033	dr	dr	…の中に				
21042	dr	dr	…の中に				
21043	dr	dr	…の中に				
21049	dr	dr	…の中に				
21018	dr	dr	…の中に				
21026	dr	dr	…の中に				
21053	dr	dr	…の中に				
22019	dr	dr	…の中に				
21047	dr	dr	…の中に				
21067	dr	dr	…の中に				
22017	dr	dr	…の中に				
22062	dr	dr	…の中に				
22079	dr	dr	…の中に				
21041	dr	dr	…の中に				
22087	dr	dr	…の中に				
24019	dr	dr	…の中に				
26020	dr	dr	…の中に				
26035	dr	dr	…の中に				
27045	dr	dr	…の中に				
27053	dr	dr	…の中に				
28026	dr	dr	…の中に				
28041	dr	dr	…の中に				
28070	dr	dr	…の中に				
28081	dr	dr	…の中に				
27048	dr	dr	…の中に				
28011	dr	dr	…の中に				
27033	dr	dr	…の中に				
28006	dr	dr	…の中に				
29011	dr	dr	…の中に				
29026	dr	dr	…の中に				
14011	dr	dr	外へ				
13009	dr	dr	外へ				
13032	ra	ra	・・・を				
11012	r	ra	・・・を				
12004	rw	ra	・・・を				
12008	rw	ra	・・・を				
12008	rw	ra	・・・を				
13014	r	ra	・・・を				
13028	ra	ra	・・・を				
13029	r	ra	・・・を				
13030	r	ra	・・・を				
13030	r	ra	・・・を				
13041	r	ra	・・・を				
13041	r	ra	・・・を				
13044	r	ra	・・・を				
13059	r	ra	・・・を				
13063	r	ra	・・・を				
13065	r	ra	・・・を				
14004	w	ra	・・・を				
14007	ra	ra	・・・を				
14012	w	ra	・・・を				
14016	rw	ra	・・・を				
15013	w	ra	・・・を				
15014	rw	ra	・・・を				
15020	rw	ra	・・・を				
15034	rw	ra	・・・を				
15050	rw	ra	・・・を				
15050	rw	ra	・・・を				
12015	rw	ra	・・・を				
13011	rw	ra	・・・を				
13041	r	ra	・・・を				
12005	rw	ra	・・・を				
13050	r	ra	・・・を				
15018	rw	ra	・・・を				
15044	rw	ra	・・・を				
16011	r	ra	・・・を				
16012	w	ra	・・・を				
16018	r	ra	・・・を				
16018	rw	ra	・・・を				
16018	rw	ra	・・・を				
16033	r	ra	・・・を				
16040	w	ra	・・・を				
16042	rw	ra	・・・を				
16048	rw	ra	・・・を				
17010	r	ra	・・・を				
17011	rw	ra	・・・を				
17020	r	ra	・・・を				
17021	w	ra	・・・を				
17022	w	ra	・・・を				
17023	rw	ra	・・・を				
17035	w	ra	・・・を				
17035	rw	ra	・・・を				
17035	rw	ra	・・・を				
17036	rw	ra	・・・を				
17037	ra	ra	・・・を				
17041	w	ra	・・・を				
17041	w	ra	・・・を				
17044	w	ra	・・・を				
18003	ra	ra	・・・を				
18053	wa	ra	・・・を				
19009	w	ra	・・・を				
20006	rw	ra	・・・を				
20011	rw	ra	・・・を				
20026	rw	ra	・・・を				
20029	rw	ra	・・・を				
20032	rw	ra	・・・を				
20035	r	ra	・・・を				
16055	rw	ra	・・・を				
17040	w	ra	・・・を				
18021	ra	ra	・・・を				
18043	ra	ra	・・・を				
20015	w	ra	・・・を				
18008	ra	ra	・・・を				
21003	rw	ra	・・・を				
21007	ra	ra	・・・を				
21008	ra	ra	・・・を				
21013	ra	ra	・・・を				
21019	ra	ra	・・・を				
21019	ra	ra	・・・を				
21023	ra	ra	・・・を				
21027	ra	ra	・・・を				
21030	ra	ra	・・・を				
21033	ra	ra	・・・を				
21039	ra	ra	・・・を				
21042	ra	ra	・・・を				
21042	ra	ra	・・・を				
21048	ra	ra	・・・を				
21049	ra	ra	・・・を				
21056	ra	ra	・・・を				
21058	ra	ra	・・・を				
21059	ra	ra	・・・を				
21063	ra	ra	・・・を				
21066	ra	ra	・・・を				
21068	ra	ra	・・・を				
21071	ra	ra	・・・を				
21075	ra	ra	・・・を				
21076	ra	ra	・・・を				
22006	rw	ra	・・・を				
22006	rw	ra	・・・を				
22025	ra	ra	・・・を				
22030	ra	ra	・・・を				
22039	rw	ra	・・・を				
22055	ra	ra	・・・を				
22066	ra	ra	・・・を				
22100	rw	ra	・・・を				
22100	ra	ra	・・・を				
22111	ra	ra	・・・を				
21015	ra	ra	・・・を				
21017	ra	ra	・・・を				
21025	ra	ra	・・・を				
21037	ra	ra	・・・を				
21037	rw	ra	・・・を				
21038	ra	ra	・・・を				
21039	ra	ra	・・・を				
21040	ra	ra	・・・を				
21041	ra	ra	・・・を				
21043	ra	ra	・・・を				
21045	ra	ra	・・・を				
21053	ra	ra	・・・を				
21065	ra	ra	・・・を				
22016	r	ra	・・・を				
22017	ra	ra	・・・を				
22023	rw	ra	・・・を				
22024	r	ra	・・・を				
22066	ra	ra	・・・を				
22079	rw	ra	・・・を				
22093	rw	ra	・・・を				
22122	rw	ra	・・・を				
22133	w	ra	・・・を				
22154	r	ra	・・・を				
21014	ra	ra	・・・を				
21047	rw	ra	・・・を				
21067	ra	ra	・・・を				
22014	w	ra	・・・を				
22027	ra	ra	・・・を				
22038	ra	ra	・・・を				
22087	r	ra	・・・を				
22158	rw	ra	・・・を				
21069	ra	ra	・・・を				
21073	ra	ra	・・・を				
23011	w	ra	・・・を				
23012	rw	ra	・・・を				
23019	w	ra	・・・を				
23021	w	ra	・・・を				
23023	w	ra	・・・を				
23024	w	ra	・・・を				
23032	rw	ra	・・・を				
23035	w	ra	・・・を				
23037	w	ra	・・・を				
23039	w	ra	・・・を				
23042	rw	ra	・・・を				
23046	w	ra	・・・を				
23051	rw	ra	・・・を				
23051	w	ra	・・・を				
23051	w	ra	・・・を				
23053	rw	ra	・・・を				
23053	w	ra	・・・を				
23053	w	ra	・・・を				
23054	w	ra	・・・を				
24006	rw	ra	・・・を				
24010	rw	ra	・・・を				
24011	rw	ra	・・・を				
24011	w	ra	・・・を				
24011	w	ra	・・・を				
24014	r	ra	・・・を				
24014	rw	ra	・・・を				
23005	ra	ra	・・・を				
23017	ra	ra	・・・を				
23020	w	ra	・・・を				
23025	w	ra	・・・を				
23028	rw	ra	・・・を				
23030	rw	ra	・・・を				
23040	rw	ra	・・・を				
23042	rw	ra	・・・を				
23047	w	ra	・・・を				
23052	rw	ra	・・・を				
24005	rw	ra	・・・を				
24013	rw	ra	・・・を				
23015	ra	ra	・・・を				
24006	w	ra	・・・を				
25009	rw	ra	・・・を				
25009	w	ra	・・・を				
25010	w	ra	・・・を				
25017	r	ra	・・・を				
25046	wa	ra	・・・を				
26006	r	ra	・・・を				
26022	r	ra	・・・を				
26024	rw	ra	・・・を				
26031	rw	ra	・・・を				
26035	rw	ra	・・・を				
25022	ra	ra	・・・を				
25038	ra	ra	・・・を				
25044	ra	ra	・・・を				
26011	rw	ra	・・・を				
26011	rw	ra	・・・を				
26023	ra	ra	・・・を				
26032	r	ra	・・・を				
26009	rw	ra	・・・を				
26017	r	ra	・・・を				
27003	w	ra	・・・を				
27005	rw	ra	・・・を				
27008	w	ra	・・・を				
27010	w	ra	・・・を				
27020	r	ra	・・・を				
27027	w	ra	・・・を				
27030	rw	ra	・・・を				
27039	w	ra	・・・を				
27040	rw	ra	・・・を				
27045	rw	ra	・・・を				
27046	ra	ra	・・・を				
27046	ra	ra	・・・を				
27049	w	ra	・・・を				
27051	rw	ra	・・・を				
27053	rw	ra	・・・を				
27054	ra	ra	・・・を				
27054	w	ra	・・・を				
27054	w	ra	・・・を				
