27055	انشاءلله	الهاء	おお神よ！				
13008	به	به	・・・に				
13011	به	به	・・・に				
13012	به	به	・・・に				
13013	به	به	・・・に				
13014	به	به	・・・に				
13014	به	به	・・・に				
13015	به	به	・・・に				
13019	به	به	・・・に				
13021	به	به	・・・に				
13024	به	به	・・・に				
13024	به	به	・・・に				
13025	به	به	・・・に				
13031	به	به	・・・に				
13032	به	به	・・・に				
13036	به	به	・・・に				
13041	به	به	・・・に				
13043	به	به	・・・に				
13065	به	به	・・・に				
14006	به	به	・・・に				
14006	به	به	・・・に				
14007	به	به	・・・に				
14007	به	به	・・・に				
14010	به	به	・・・に				
14011	به	به	・・・に				
14013	به	به	・・・に				
15023	به	به	・・・に				
15026	به	به	・・・に				
15042	به	به	・・・に				
15048	به	به	・・・に				
13010	به	به	・・・に				
13020	به	به	・・・に				
13020	به	به	・・・に				
13021	به	به	・・・に				
13021	به	به	・・・に				
13041	به	به	・・・に				
13043	به	به	・・・に				
13065	به	به	・・・に				
13065	به	به	・・・に				
13050	به	به	・・・に				
13050	به	به	・・・に				
18039	به	به	・・・に				
16009	به	به	・・・に				
16013	به	به	・・・に				
16030	به	به	・・・に				
16052	به	به	・・・に				
17005	به	به	・・・に				
17009	به	به	・・・に				
17010	به	به	・・・に				
17011	به	به	・・・に				
17016	به	به	・・・に				
17022	به	به	・・・に				
17026	به	به	・・・に				
17027	به	به	・・・に				
17030	به	به	・・・に				
17035	به	به	・・・に				
17036	به	به	・・・に				
17036	به	به	・・・に				
17036	به	به	・・・に				
18018	به	به	・・・に				
18025	به	به	・・・に				
18029	به	به	・・・に				
18057	به	به	・・・に				
18058	به	به	・・・に				
19005	به	به	・・・に				
19009	به	به	・・・に				
19011	به	به	・・・に				
20005	به	به	・・・に				
20006	به	به	・・・に				
20011	به	به	・・・に				
20016	به	به	・・・に				
20029	به	به	・・・に				
20029	به	به	・・・に				
20033	به	به	・・・に				
20037	به	به	・・・に				
16027	به	به	・・・に				
17028	به	به	・・・に				
18032	به	به	・・・に				
18041	به	به	・・・に				
18064	به	به	・・・に				
20031	به	به	・・・に				
21008	به	به	・・・に				
21010	به	به	・・・に				
21028	به	به	・・・に				
21030	به	به	・・・に				
21034	به	به	・・・に				
21037	به	به	・・・に				
21039	به	به	・・・に				
21040	به	به	・・・に				
21046	به	به	・・・に				
21046	به	به	・・・に				
21055	به	به	・・・に				
21060	به	به	・・・に				
21068	به	به	・・・に				
21072	به	به	・・・に				
21074	به	به	・・・に				
21075	به	به	・・・に				
22040	به	به	・・・に				
22041	به	به	・・・に				
22063	به	به	・・・に				
22087	به	به	・・・に				
22096	به	به	・・・に				
22111	به	به	・・・に				
22121	به	به	・・・に				
22123	به	به	・・・に				
22148	به	به	・・・に				
22159	به	به	・・・に				
22160	به	به	・・・に				
22160	به	به	・・・に				
21022	به	به	・・・に				
21029	به	به	・・・に				
21035	به	به	・・・に				
21037	به	به	・・・に				
21041	به	به	・・・に				
21043	به	به	・・・に				
21045	به	به	・・・に				
21058	به	به	・・・に				
22016	به	به	・・・に				
22044	به	به	・・・に				
22064	به	به	・・・に				
22081	به	به	・・・に				
22082	به	به	・・・に				
22093	به	به	・・・に				
22114	به	به	・・・に				
22132	به	به	・・・に				
22139	به	به	・・・に				
22141	به	به	・・・に				
22145	به	به	・・・に				
22154	به	به	・・・に				
21047	به	به	・・・に				
22028	به	به	・・・に				
22043	به	به	・・・に				
22054	به	به	・・・に				
22062	به	به	・・・に				
22073	به	به	・・・に				
22118	به	به	・・・に				
23003	به	به	・・・に				
23006	به	به	・・・に				
23009	به	به	・・・に				
23012	به	به	・・・に				
23013	به	به	・・・に				
23018	به	به	・・・に				
23021	به	به	・・・に				
23023	به	به	・・・に				
23024	به	به	・・・に				
23027	به	به	・・・に				
23053	به	به	・・・に				
24004	به	به	・・・に				
24008	به	به	・・・に				
24009	به	به	・・・に				
24014	به	به	・・・に				
23012	به	به	・・・に				
23014	به	به	・・・に				
23019	به	به	・・・に				
24006	تا	به	・・・に				
25005	تا	به	・・・に				
25002	به	به	・・・に				
25002	به	به	・・・に				
25004	به	به	・・・に				
25014	به	به	・・・に				
25027	به	به	・・・に				
26006	به	به	・・・に				
26007	به	به	・・・に				
26019	به	به	・・・に				
26035	به	به	・・・に				
26005	به	به	・・・に				
26005	به	به	・・・に				
26020	تا	به	・・・に				
26023	به	به	・・・に				
26025	به	به	・・・に				
26035	به	به	・・・に				
25013	به	به	・・・に				
26005	به	به	・・・に				
27009	به	به	・・・に				
27020	به	به	・・・に				
27025	به	به	・・・に				
27027	به	به	・・・に				
27036	به	به	・・・に				
27037	به	به	・・・に				
27048	به	به	・・・に				
27050	به	به	・・・に				
27053	به	به	・・・に				
28006	تا	به	・・・に				
28012	به	به	・・・に				
28013	به	به	・・・に				
28015	به	به	・・・に				
28042	به	به	・・・に				
28043	به	به	・・・に				
28044	به	به	・・・に				
28055	به	به	・・・に				
28056	به	به	・・・に				
28061	به	به	・・・に				
28074	به	به	・・・に				
28077	به	به	・・・に				
28078	به	به	・・・に				
28081	به	به	・・・に				
28088	به	به	・・・に				
28090	به	به	・・・に				
28092	به	به	・・・に				
27022	به	به	・・・に				
27027	به	به	・・・に				
27047	به	به	・・・に				
28006	به	به	・・・に				
28056	به	به	・・・に				
28088	به	به	・・・に				
28014	به	به	・・・に				
28109	به	به	・・・に				
27048	به	به	・・・に				
29002	به	به	・・・に				
29007	به	به	・・・に				
30005	به	به	・・・に				
30008	به	به	・・・に				
30011	به	به	・・・に				
30034	به	به	・・・に				
30035	به	به	・・・に				
29033	به	به	・・・に				
29059	به	به	・・・に				
30005	به	به	・・・に				
30014	به	به	・・・に				
30016	به	به	・・・に				
30027	به	به	・・・に				
30027	به	به	・・・に				
29041	به	به	・・・に				
30009	به	به	・・・に				
30016	به	به	・・・に				
30016	به	به	・・・に				
23032	به	به	・・・に;				
23029	به	به	・・・に;				
23036	به	به	・・・に;				
23037	به	به	・・・に;				
23037	به	به	・・・に;				
23041	به	به	・・・に;				
23045	به	به	・・・に;				
23047	به	به	・・・に;				
23048	به	به	・・・に;				
23051	به	به	・・・に;				
23028	به	به	・・・に;				
29041	بهت	به	・・・に	تو	お前		
21062	بی	بی	・・・なしに				
28038	بی	بی	・・・なしに				
28057	بی	بی	・・・なしに				
28005	بی	بی	・・・なしに				
13005	بیرخت	بی	・・・なしに	رخت	衣服		
30019	پ	پ	不明				
12011	تا	تا	・・・まで				
12015	تا	تا	・・・まで				
12019	تا	تا	・・・まで				
14013	تا	تا	・・・まで				
15002	تا	تا	・・・まで				
15037	تا	تا	・・・まで				
15050	تا	تا	・・・まで				
17024	تا	تا	・・・まで				
17028	تا	تا	・・・まで				
18011	تا	تا	・・・まで				
18019	تا	تا	・・・まで				
18042	تا	تا	・・・まで				
18050	تا	تا	・・・まで				
18052	تا	تا	・・・まで				
18059	تا	تا	・・・まで				
18065	تا	تا	・・・まで				
20007	تا	تا	・・・まで				
18045	تا	تا	・・・まで				
22136	تا	تا	・・・まで				
21018	تا	تا	・・・まで				
21026	تا	تا	・・・まで				
21037	تا	تا	・・・まで				
21038	تا	تا	・・・まで				
21041	تا	تا	・・・まで				
21042	تا	تا	・・・まで				
21045	تا	تا	・・・まで				
21058	تا	تا	・・・まで				
22011	تا	تا	・・・まで				
22027	تا	تا	・・・まで				
22060	تا	تا	・・・まで				
22066	تا	تا	・・・まで				
22096	تا	تا	・・・まで				
22128	تا	تا	・・・まで				
22142	تا	تا	・・・まで				
21047	تا	تا	・・・まで				
21067	تا	تا	・・・まで				
23005	تا	تا	・・・まで				
23050	تا	تا	・・・まで				
11011	تقریباً	تقریبا	およそ				
22099	چرا	چرا	なぜ				
22022	چرا	چرا	なぜ				
22036	چرا	چرا	なぜ				
22093	چرا	چرا	なぜ				
22116	چرا	چرا	なぜ				
22098	چرا	چرا	なぜ				
23030	چرا	چرا	なぜ				
26013	چرا	چرا	なぜ				
28026	چرا	چرا	なぜ				
28055	چرا	چرا	なぜ				
27013	چرا	چرا	なぜ				
28004	چرا	چرا	なぜ				
28007	چرا	چرا	なぜ				
28021	چرا	چرا	なぜ				
28028	چرا	چرا	なぜ				
28100	چرا	چرا	なぜ				
29061	چرا	چرا	なぜ				
29019	چرا	چرا	なぜ				
29029	چرا	چرا	なぜ				
29030	چرا	چرا	なぜ				
20020	چطوری	چطور	いかに				
20015	چطور	چطور	いかに				
22057	چهطور	چطور	いかに				
23017	چه جوری	چطور	いかに				
28090	چطور	چطور	いかに				
28090	چطور	چطور	いかに				
21021	چقدر	چقدر	いかほど				
21028	چقدر	چقدر	いかほど				
21034	چقدر	چقدر	いかほど				
22113	چقدر	چقدر	いかほど				
12005	چون	چون	・・・なので				
15036	چون	چون	・・・なので				
16029	چون	چون	・・・なので				
17046	چون	چون	・・・なので				
19012	چون	چون	・・・なので				
20035	چون	چون	・・・なので				
22148	چون	چون	・・・なので				
22023	چون	چون	・・・なので				
22081	چون	چون	・・・なので				
22132	چون	چون	・・・なので				
22157	چون	چون	・・・なので				
21075	چون	چون	・・・なので				
23037	چون	چون	・・・なので				
29017	چون	چون	・・・なので				
11017	حالا	حالا	今				
11022	حالا	حالا	今				
13029	حالا	حالا	今				
13036	حالا	حالا	今				
13050	حالا	حالا	今				
16044	حالا	حالا	今				
17021	حالا	حالا	今				
20011	حالا	حالا	今				
20031	حالا	حالا	今				
22045	حالا	حالا	今				
22022	حالا	حالا	今				
22081	حالا	حالا	今				
22096	حالا	حالا	今				
22157	حالا	حالا	今				
22087	حالا	حالا	今				
24019	حالا	حالا	今				
23015	حالا	حالا	今				
25033	حالا	حالا	今				
27048	حالا	حالا	今				
28039	حالا	حالا	今				
27015	حالا	حالا	今				
28014	حالا	حالا	今				
29057	حالا	حالا	今				
22024	حتماً	حتما	確かに				
22107	حتماً	حتما	確かに				
27047	حتماً	حتما	確かに				
11001	در	در	…の中に				
12002	در	در	…の中に				
