163020	 سرکونشو 	سر	頭	 کون 	未決	او	三人称単数人称代名詞（彼、彼女）	را	・・・を
112005	 چیه 	چه	どうして	بودن	・・・である				
120028	 چیه 	چه	どうして	بودن	・・・である				
120034	 چیه 	چه	どうして	بودن	・・・である				
135006	 چیه 	چه	どうして	بودن	・・・である				
137003	 چیه 	چه	どうして	بودن	・・・である				
137002	 چیه 	چه	どうして	بودن	・・・である				
199003	 چیه 	چه	どうして	بودن	・・・である				
113013	 کجا ست 	کجا	どこに	بودن	・・・である				
96001	 کجاست 	کجا	どこに	بودن	・・・である				
96049	 کجاست 	کجا	どこに	بودن	・・・である				
148005	 کجاست 	کجا	どこに	بودن	・・・である				
148005	 کجاست 	کجا	どこに	بودن	・・・である				
167005	 کجاست 	کجا	どこに	بودن	・・・である				
180003	 کجاست 	کجا	どこに	بودن	・・・である				
138014	 کدومه 	کدام	どちら	بودن	・・・である				
96052	 همینجاست 	همینجا	まさにここ	بودن	・・・である				
113004	 چیزهاست 	چیز	もの	بودن	・・・である				
87007	 بهترم 	بهتر	よりよい	بودن	・・・である				
112079	 بیشتره 	بیشتر	より多い	بودن	・・・である				
100020	 سیبه 	سیب	りんご	بودن	・・・である				
100017	 سیبه 	سیب	りんご	بودن	・・・である				
109009	 کیست 	کی	که（だれ）の口語形	بودن	・・・である				
167001	 کیستی 	کی	که（だれ）の口語形	بودن	・・・である				
89004	 کیه 	کی	که（だれ）の口語形	بودن	・・・である				
94013	 کیه 	کی	که（だれ）の口語形	بودن	・・・である				
103018	 کیه 	کی	که（だれ）の口語形	بودن	・・・である				
111007	 کیه 	کی	که（だれ）の口語形	بودن	・・・である				
120007	 کیه 	کی	که（だれ）の口語形	بودن	・・・である				
141010	 چاهه 	چاه	井戸	بودن	・・・である				
141010	 چاهه 	چاه	井戸	بودن	・・・である				
170001	 یلونم 	یل	英雄	بودن	・・・である				
107008	 پهلوانیه 	پهلوان	英雄	بودن	・・・である				
143004	 تیزه 	تیز	鋭い	بودن	・・・である				
143004	 تیزه 	تیز	鋭い	بودن	・・・である				
96064	 پایینم 	پایین	下に	بودن	・・・である				
175003	 ممکنه 	ممکن	可能な	بودن	・・・である				
175001	 ممکنه 	ممکن	可能な	بودن	・・・である				
113004	 مشخصه 	مشخص	確定された	بودن	・・・である				
112060	 دانا ست 	دانا	学問がある	بودن	・・・である				
89029	 شیرینه 	شیرین	甘い	بودن	・・・である				
112068	 خطرناکه 	خطرناک	危険な	بودن	・・・である				
112087	 خطرناکه 	خطرناک	危険な	بودن	・・・である				
125006	 بیهوشه 	بیهوش	気を失った	بودن	・・・である				
112050	 ذهنه 	ذهن	記憶	بودن	・・・である				
90019	 مجبورش 	مجبور	強制された	بودن	・・・である				
72020	 مجبورم 	مجبور	強制された	بودن	・・・である				
87053	 طلاست 	طلا	金	بودن	・・・である				
120033	 طلاست 	طلا	金	بودن	・・・である				
148011	 شهرستانه 	شهرستان	郡	بودن	・・・である				
148011	 شهرستانه 	شهرستان	郡	بودن	・・・である				
143002	 عروسیه 	عروسی	結婚	بودن	・・・である				
143003	 عروسیه 	عروسی	結婚	بودن	・・・である				
144003	 عروسیه 	عروسی	結婚	بودن	・・・である				
143002	 عروسیه 	عروسی	結婚	بودن	・・・である				
143003	 عروسیه 	عروسی	結婚	بودن	・・・である				
144003	 عروسیه 	عروسی	結婚	بودن	・・・である				
102057	 سالمه 	سالم	健康な	بودن	・・・である				
102060	 سالمه 	سالم	健康な	بودن	・・・である				
127014	 پیداست 	پیدا	見える	بودن	・・・である				
84013	 پشیمونم 	پشیمان	後悔している	بودن	・・・である				
75013	 گدام 	گدا	乞食	بودن	・・・である				
195001	 موجودیست 	موجودی	在庫（品）	بودن	・・・である				
96060	 کاره 	کار	仕事	بودن	・・・である				
96061	 کاریه 	کار	仕事	بودن	・・・である				
96076	 کاریه 	کار	仕事	بودن	・・・である				
96092	 عاقلیه 	عاقلی	思慮	بودن	・・・である				
75013	 منم 	من	私	بودن	・・・である				
75031	 منم 	من	私	بودن	・・・である				
94013	 منم 	من	私	بودن	・・・である				
79009	 منه 	من	私	بودن	・・・である				
95028	 منه 	من	私	بودن	・・・である				
98021	 منه 	من	私	بودن	・・・である				
131008	 منه 	من	私	بودن	・・・である				
150016	 منه 	من	私	بودن	・・・である				
150007	 منه 	من	私	بودن	・・・である				
148005	 منه 	من	私	بودن	・・・である				
150025	 منه 	من	私	بودن	・・・である				
150016	 منه 	من	私	بودن	・・・である				
150007	 منه 	من	私	بودن	・・・である				
148005	 منه 	من	私	بودن	・・・である				
150025	 منه 	من	私	بودن	・・・である				
95012	 عملیه 	عملی	実行できる	بودن	・・・である				
113004	 پره 	پره	車輪の輻	بودن	・・・である				
123007	 سنگینه 	سنگین	重い	بودن	・・・である				
148012	 جاست 	جا	場所	بودن	・・・である				
148012	 جاست 	جا	場所	بودن	・・・である				
93023	 خداست 	خدا	神	بودن	・・・である				
96077	 خداست 	خدا	神	بودن	・・・である				
198001	 درسته 	درست	正確に	بودن	・・・である				
199003	 قدیمَیه 	قدیمی	昔の	بودن	・・・である				
75007	 پاست 	پا	足	بودن	・・・である				
94026	 چاقید 	چاق	太った	بودن	・・・である				
94014	 درویشم 	درویش	托鉢僧	بودن	・・・である				
146002	 معلومه 	معلوم	知られた	بودن	・・・である				
146002	 معلومه 	معلوم	知られた	بودن	・・・である				
146002	 معلومه 	معلوم	知られた	بودن	・・・である				
146002	 معلومه 	معلوم	知られた	بودن	・・・である				
198001	 رسیده 	رسیدن	着く	بودن	・・・である				
94041	 بلدم 	بلد	都市	بودن	・・・である				
95019	 بلدم 	بلد	都市	بودن	・・・である				
89007	 بلدند 	بلد	都市	بودن	・・・である				
94038	 بلدی 	بلد	都市	بودن	・・・である				
93005	 بلدیم 	بلد	都市	بودن	・・・である				
112054	 جانواریه 	جانور	動物	بودن	・・・である				
178001	 حیوونیست 	حیوانی	動物の	بودن	・・・である				
90022	 بیمارم 	بیمار	病気の	بودن	・・・である				
192005	 بیمارن 	بیمار	病気の	بودن	・・・である				
95010	 ناقصه 	ناقص	不完全な	بودن	・・・である				
91053	 ناجوره 	ناجور	不釣合な	بودن	・・・である				
79024	 دربدرم 	دربدر	放浪の	بودن	・・・である				
115006	 جوریه 	طور	方法	بودن	・・・である				
94010	 طوریه 	طور	方法	بودن	・・・である				
120031	 فراوونه 	فراوان	豊富な	بودن	・・・である				
150002	 جنه 	جن	魔神	بودن	・・・である				
150002	 جنه 	جن	魔神	بودن	・・・である				
137005	 جنّه 	جن	魔神	بودن	・・・である				
113016	 جادوه 	جادو	魔法	بودن	・・・である				
135002	 بزن و بکوبه 	 بزن و بکوب	未決	بودن	・・・である				
139022	 خشته 	 خشته 	未決	بودن	・・・である				
96115	 خوابه 	خواب	眠り	بودن	・・・である				
96130	 خوابه 	خواب	眠り	بودن	・・・である				
138006	 روشنایه 	روشنائی	明るさ	بودن	・・・である				
112007	 داده 	دادن	与える	بودن	・・・である				
96079	 لختم 	لخت2	裸の	بودن	・・・である				
87040	 خوبم 	خوب	良い	بودن	・・・である				
89033	 خوبه 	خوب	良い	بودن	・・・である				
91054	 خوبه 	خوب	良い	بودن	・・・である				
94054	 خوبه 	خوب	良い	بودن	・・・である				
94050	 خوبه 	خوب	良い	بودن	・・・である				
94050	 خوبه 	خوب	良い	بودن	・・・である				
112049	 خوبه 	خوب	良い	بودن	・・・である				
112050	 خوبه 	خوب	良い	بودن	・・・である				
75004	 برایکه 	برای	・・・のために	که1	・・・であるということ				
109017	 اونیکه 	آن1	あれ	که1	・・・であるということ				
89009	 اینکه 	این	この	که1	・・・であるということ				
89023	 اینکه 	این	この	که1	・・・であるということ				
96037	 اینکه 	این	この	که1	・・・であるということ				
113003	 اینکه 	این	この	که1	・・・であるということ				
113016	 اینکه 	این	この	که1	・・・であるということ				
119009	 اینکه 	این	この	که1	・・・であるということ				
119016	 اینکه 	این	この	که1	・・・であるということ				
119007	 اینکه 	این	この	که1	・・・であるということ				
120011	 اینکه 	این	この	که1	・・・であるということ				
119023	 اینکه 	این	この	که1	・・・であるということ				
121001	 اینکه 	این	この	که1	・・・であるということ				
139010	 اینکه 	این	この	که1	・・・であるということ				
150007	 اینکه 	این	この	که1	・・・であるということ				
150028	 اینکه 	این	この	که1	・・・であるということ				
150007	 اینکه 	این	この	که1	・・・であるということ				
150028	 اینکه 	این	この	که1	・・・であるということ				
200002	 اینکه 	این	この	که1	・・・であるということ				
200015	 اینکه 	این	この	که1	・・・であるということ				
197015	 اینکه 	این	この	که1	・・・であるということ				
93016	 اونجایکه 	آنجا	そこ（で、に）	که1	・・・であるということ				
90013	 همینکه 	همین	まさしくこの	که1	・・・であるということ				
135003	 صورتیکه 	صورت	顔	که1	・・・であるということ				
192001	 خاطریکه 	خاطر	記憶	که1	・・・であるということ				
77012	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
82022	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
84006	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
84018	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
87043	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
87047	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
87061	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
87066	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
89010	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
95031	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
96094	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
96100	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
96102	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
96106	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
96130	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
97008	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
110006	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
110020	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
110022	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
112108	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
112076	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
119010	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
119015	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
119021	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
119021	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
119021	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
119021	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
124008	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
130002	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
144006	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
148011	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
144006	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
148011	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
163012	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
197004	 وقتیکه 	وقتی	時間	که1	・・・であるということ				
150029	 موقعیکه 	موقهی	未決	که1	・・・であるということ				
150029	 موقعیکه 	موقهی	未決	که1	・・・であるということ				
183002	 بسم 	اسم	名前	به1	・・・に				
82010	 شریکشون 	شریک	（出資）組合員	شدن	・・・になる				
93008	 بازمیشه 	باز1	開いた	شدن	・・・になる				
97008	 روش 	او	三人称単数人称代名詞（彼、彼女）	رو	・・・の上に				
149005	 بتو 	به1	・・・に	تو2	・・・の中に				
149005	 بتو 	به1	・・・に	تو2	・・・の中に				
175001	 آدمو 	آدم	アダム	را	・・・を				
107019	 اونرو 	آن1	あれ	را	・・・を				
128006	 اونه 	آن1	あれ	را	・・・を				
191014	 اونه 	آن1	あれ	را	・・・を				
91055	 اونو 	آن1	あれ	را	・・・を				
112031	 اونو 	آن1	あれ	را	・・・を				
128017	 اونو 	آن1	あれ	را	・・・を				
77012	 ترا 	تو1	お前	را	・・・を				
87039	 ترا 	تو1	お前	را	・・・を				
166007	 ترا 	تو1	お前	را	・・・を				
166011	 ترا 	تو1	お前	را	・・・を				
73015	 ترو 	تو1	お前	را	・・・を				
92022	 ترو 	تو1	お前	را	・・・を				
96113	 ترو 	تو1	お前	را	・・・を				
73005	 اینه 	این	この	را	・・・を				
73008	 اینه 	این	この	را	・・・を				
73018	 اینه 	این	この	را	・・・を				
74018	 اینه 	این	この	را	・・・を				
73009	 اینه 	این	この	را	・・・を				
117003	 اینه 	این	この	را	・・・を				
128005	 اینه 	این	この	را	・・・を				
181005	 اینه 	این	この	را	・・・を				
189002	 اینه 	این	この	را	・・・を				
194018	 اینه 	این	この	را	・・・を				
194017	 اینه 	این	この	را	・・・を				
194016	 اینه 	این	この	را	・・・を				
72025	 اینو 	این	この	را	・・・を				
87063	 اینو 	این	この	را	・・・を				
87065	 اینو 	این	この	را	・・・を				
94029	 اینو 	این	この	را	・・・を				
94058	 اینو 	این	この	را	・・・を				
94050	 اینو 	این	この	را	・・・を				
94056	 اینو 	این	この	را	・・・を				
94056	 اینو 	این	この	را	・・・を				
94056	 اینو 	این	この	را	・・・を				
93009	 اینو 	این	この	را	・・・を				
93009	 اینو 	این	この	را	・・・を				
95029	 اینو 	این	この	را	・・・を				
112045	 اینو 	این	この	را	・・・を				
112110	 اینو 	این	この	را	・・・を				
120009	 اینو 	این	この	را	・・・を				
120009	 اینو 	این	この	را	・・・を				
120024	 اینو 	این	この	را	・・・を				
125005	 اینو 	این	この	را	・・・を				
127013	 اینو 	این	この	را	・・・を				
130003	 اینو 	این	この	را	・・・を				
130005	 اینو 	این	この	را	・・・を				
199002	 اینو 	این	この	را	・・・を				
189004	 اینو 	این	この	را	・・・を				
194021	 اینو 	این	この	را	・・・を				
181005	 اینو 	این	この	را	・・・を				
112086	 عقربو 	عقرب	さそり	را	・・・を				
94055	 نمدو 	نمد	フェルト	را	・・・を				
112027	 چیزو 	چیز	もの	را	・・・を				
96136	 گلو 	گل3	花	را	・・・を				
96126	 گلو 	گل	花	را	・・・を				
148009	 ماشینو 	ماشین	機械	را	・・・を				
148009	 ماشینو 	ماشین	機械	را	・・・を				
120008	 در و 	در1	戸	را	・・・を				
93018	 درو 	در1	戸	را	・・・を				
91054	 مالو 	مال	財産	را	・・・を				
91011	 گنجو 	گنج1	財宝	را	・・・を				
96126	 اورو 	او	三人称単数人称代名詞（彼、彼女）	را	・・・を				
96008	 کارا 	کار	仕事	را	・・・を				
96167	 انگشترو 	انگشتر	指輪	را	・・・を				
96150	 انگشترو 	انگشتر	指輪	را	・・・を				
74034	 مرا 	من	私	را	・・・を				
77008	 مرا 	من	私	را	・・・を				
82022	 مرا 	من	私	را	・・・を				
109011	 مرا 	من	私	را	・・・を				
109021	 مرا 	من	私	را	・・・を				
109020	 مرا 	من	私	را	・・・を				
112065	 مرا 	من	私	را	・・・を				
166016	 مرا 	من	私	را	・・・を				
74012	 منو 	من	私	را	・・・を				
86012	 منو 	من	私	را	・・・を				
86024	 منو 	من	私	را	・・・を				
87011	 منو 	من	私	را	・・・を				
87021	 منو 	من	私	را	・・・を				
87030	 منو 	من	私	را	・・・を				
87038	 منو 	من	私	را	・・・を				
88027	 منو 	من	私	را	・・・を				
88036	 منو 	من	私	را	・・・を				
92048	 منو 	من	私	را	・・・を				
94056	 منو 	من	私	را	・・・を				
95032	 منو 	من	私	را	・・・を				
95015	 منو 	من	私	را	・・・を				
96040	 منو 	من	私	را	・・・を				
96128	 منو 	من	私	را	・・・を				
96066	 منو 	من	私	را	・・・を				
102015	 منو 	من	私	را	・・・を				
112104	 منو 	من	私	را	・・・を				
141014	 منو 	من	私	را	・・・を				
150028	 منو 	من	私	را	・・・を				
148008	 منو 	من	私	را	・・・を				
141014	 منو 	من	私	را	・・・を				
150028	 منو 	من	私	را	・・・を				
148008	 منو 	من	私	را	・・・を				
163004	 منو 	من	私	را	・・・を				
163012	 منو 	من	私	را	・・・を				
200006	 دینو 	دین	宗教	را	・・・を				
199001	 کچلو 	کچل	禿げた	را	・・・を				
78003	 اونهارا 	آنها	彼ら	را	・・・を				
140012	 جّنو 	جن	魔神	را	・・・を				
80010	 بهم 	به1	・・・に	هم	・・もまた				
100017	 بهم 	به1	・・・に	هم	・・もまた				
138009	 بهم 	به1	・・・に	هم	・・もまた				
123018	 رم 	را	・・・を	هم	・・もまた				
191011	 رم 	را	・・・を	هم	・・もまた				
91042	 اونم 	آن1	あれ	هم	・・もまた				
123006	 اونم 	آن1	あれ	هم	・・もまた				
140004	 اونم 	آن1	あれ	هم	・・もまた				
177002	 اونم 	آن1	あれ	هم	・・もまた				
200016	 اونم 	آن1	あれ	هم	・・もまた				
150028	 اینجام 	اینجا	ここ（に）	هم	・・もまた				
150028	 اینجام 	اینجا	ここ（に）	هم	・・もまた				
92051	 اینم 	این	この	هم	・・もまた				
93011	 اینم 	این	この	هم	・・もまた				
96077	 اینم 	این	この	هم	・・もまた				
196008	 اینم 	این	この	هم	・・もまた				
199003	 اینم 	این	この	هم	・・もまた				
150022	 الانم 	الان	ちょうど今	هم	・・もまた				
150022	 الانم 	الان	ちょうど今	هم	・・もまた				
96126	 بدم 	بد	悪い	هم	・・もまた				
112070	 پادشاهم 	پادشاه	王	هم	・・もまた				
191018	 سه شنبم 	سهشنبه	火曜日	هم	・・もまた				
148004	 پولم 	پول	金銭	هم	・・もまた				
148004	 پولم 	پول	金銭	هم	・・もまた				
75016	 گداییم 	گدا	乞食	هم	・・もまた				
75014	 منم 	من	私	هم	・・もまた				
75008	 منم 	من	私	هم	・・もまた				
75009	 منم 	من	私	هم	・・もまた				
92029	 منم 	من	私	هم	・・もまた				
93003	 منم 	من	私	هم	・・もまた				
93012	 منم 	من	私	هم	・・もまた				
143004	 مام 	ما	私たち	هم	・・もまた				
143004	 مام 	ما	私たち	هم	・・もまた				
194018	 مام 	ما	私たち	هم	・・もまた				
140018	 مارم 	مار1	蛇	هم	・・もまた				
138010	 زنم 	زن	女性	هم	・・もまた				
138010	 زنم 	زن	女性	هم	・・もまた				
149006	 آقام 	آقا	紳士	هم	・・もまた				
149006	 آقام 	آقا	紳士	هم	・・もまた				
96073	 مردم 	مرد	男	هم	・・もまた				
141009	 همونجاهم 	همانجا	丁度そこに	هم	・・もまた				
141009	 همونجاهم 	همانجا	丁度そこに	هم	・・もまた				
139011	 سالم 	سال	年	هم	・・もまた				
79026	 فردام 	فردا	明日	هم	・・もまた				
79029	 فردام 	فردا	明日	هم	・・もまた				
