34025	 دوتاش 	او	三人称単数人称代名詞（彼、彼女）	تا	・・・個pos_num:sp_	دو	2
49013	 دستشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	دست	手 
59011	 دست هات 	تو	お前	ها	名詞複数形語尾	دست	手 
50057	 خوراکیارم 	هم	・・もまた	را	・・・を	خوراکی	食物 
50053	 جلوشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	جلو	前方に 
38024	 پاشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	پا	足
34038	 پامو 	را	・・・を	من	私	پا	足 
41038	 تنشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	تن	体
34059	 وسطشونم 	هم	・・もまた	آنها	彼ら	وسط	中央 
49002	 تهشم 	هم	・・もまた	او	三人称単数人称代名詞（彼、彼女）	ته	底 
33010	 قدرشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	قدر	天命
37024	 سرشه 	بودن	・・・である	او	三人称単数人称代名詞（彼、彼女）	سر	頭 
41026	 سرشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	سر	頭 
57016	 گوشتاشم 	هم	・・もまた	او	三人称単数人称代名詞（彼、彼女）	گوشت	肉 
37038	 اسباتو 	را	・・・を	تو	お前	اسب	馬 
50004	 نصفشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	نصف	半分 
50004	 نصفشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	نصف	半分 
50052	 لباسشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	لباس	服 
50085	 مادرشم 	هم	・・もまた	او	三人称単数人称代名詞（彼、彼女）	مادر	母 
35008	 خواستنشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	خواستن	望む
31051	 سرگذشتشونو 	را	・・・を	آنها	彼ら	سرگذشت	冒険 
40014	 چشاشو 	را	・・・を	او	三人称単数人称代名詞（彼、彼女）	چشم	目 
40018	 چششاشم 	هم	・・もまた	او	三人称単数人称代名詞（彼、彼女）	چشم	目 
64013	 یدونه 	دانه	…個	یک	1		
41039	 یهو 	هو	ため息	یک	1		
41039	 یهو 	هو	ため息	یک	1		
45043	 یهو 	هو	ため息	یک	1		
50052	 یهو 	هو	ため息	یک	1		
50052	 یهو 	هو	ため息	یک	1		
50071	 یهو 	هو	ため息	یک	1		
50083	 یهو 	هو	ため息	یک	1		
40007	 یکمی 	کمی	少し	یک	1		
40009	 یکمی 	کمی	少し	یک	1		
62025	 یخرده 	خرده	断片	یک	1		
45005	 یهو 	هو	彼	یک	1		
46041	 کردنو 	و	そして	کردن	（あることを）する		
45014	 میکننو 	و	そして	کردن	（あることを）する		
45042	 کردنش 	او	三人称単数人称代名詞（彼、彼女）	کردن	（あることを）する		
60005	 کارکنه 	کار	仕事	کردن	（あることを）する		
32024	 بغچش 	 他称-単数-女-_	او	بغچه	（衣服などをつつむ）風呂敷		
33017	 سر درو 	را	・・・を	سردر	（建物の）正面		
33016	 سردرو 	را	・・・を	سردر	（建物の）正面		
33012	 سردرش 	او	あれ、それ	سردر	（建物の）正面		
49040	 گذشتش 	او	三人称単数人称代名詞（彼、彼女）	گذشتن	（時が）過ぎる		
53099	 گله ات 	تو	お前	گله	（獣の）群れ		
40030	 ازش 	او	三人称単数人称代名詞（彼、彼女）	از	（場所）・・・から		
44088	 ازش 	او	三人称単数人称代名詞（彼、彼女）	از	（場所）・・・から		
44088	 ازش 	او	三人称単数人称代名詞（彼、彼女）	از	（場所）・・・から		
58005	 ازش 	او	三人称単数人称代名詞（彼、彼女）	از	（場所）・・・から		
40010	 ازم 	من	私	از	（場所）・・・から		
36038	 ازجا 	جا	場所	از	（場所）・・・から		
49009	 آرا 	راه	道	از	（場所）・・・から		
34038	 اصلیه 	بودن	・・・である	اصلی	（人名）アスリー		
34031	 اصلیم 	هم	・・もまた	اصلی	（人名）アスリー		
34045	 اصلیم 	هم	・・もまた	اصلی	（人名）アスリー		
34047	 اصلیم 	هم	・・もまた	اصلی	（人名）アスリー		
34051	 کرمه 	بودن	・・・である	کرم	（人名）キャラム		
34029	 کرمو 	را	・・・を	کرم	（人名）キャラム		
34002	 کرمم 	هم	・・もまた	کرم	（人名）キャラム		
34005	 کرمم 	هم	・・もまた	کرم	（人名）キャラム		
34010	 کرمم 	هم	・・もまた	کرم	（人名）キャラム		
34015	 کرمم 	هم	・・もまた	کرم	（人名）キャラム		
40012	 شرم 	هم	・・もまた	شر	（人名）シャル		
40018	 خیرو 	را	・・・を	خیر3	（人名）ヘイル		
40021	 با هاش 	او	三人称単数人称代名詞（彼、彼女）	با	（同伴、同居など）…と（共に）		
44074	 باهاشون 	آنها	彼ら	با	（同伴、同居など）…と（共に）		
50068	 باهاشون 	آنها	彼ら	با	（同伴、同居など）…と（共に）		
47040	 کره اش 	او	三人称単数人称代名詞（彼、彼女）	کره	（馬、ろばなどの）子		
36032	 هیچکه 	که	・・・であるということ	هیچ	（否定とともに）何も・・・ない		
32036	 نی 	نی		نه	（否定の答え）いいえ		
64014	 نی 	نی		نه	（否定の答え）いいえ		
44067	 بودنت 	تو	お前	بودن	・・・である		
54015	 خمیره 	خمیر	こね粉	بودن	・・・である		
47043	 نیستمو 	و	そして	بودن	・・・である		
40002	 بودش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
71002	 بودش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
40001	 نبودش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
44067	 هستش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
37040	 هستش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
40006	 هستش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
40035	 هستش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
41013	 هستش 	او	三人称単数人称代名詞（彼、彼女）	بودن	・・・である		
37032	 مایلی 	مایل	斜めの	بودن	・・・である		
37050	 سواره 	سوار	乗馬者	بودن	・・・である		
58044	 دزده 	دزد	泥棒	بودن	・・・である		
55002	 ظرفیست 	ظرف	容器	بودن	・・・である		
35026	 بیسال 	سال	年	بی	・・・なしに		
34060	 بهم 	هم	・・もまた	به	・・・に		
44079	 بهتون 	شما	あなた	به	・・・に		
33006	 بهر 	هر	おのおのの	به	・・・に		
36015	 بتو 	تو	お前	به	・・・に		
40009	 بتو 	تو	お前	به	・・・に		
58004	 بتو 	تو	お前	به	・・・に		
35005	 بهت 	تو	お前	به	・・・に		
46008	 بهت 	تو	お前	به	・・・に		
49012	 بهت 	تو	お前	به	・・・に		
50004	 بهت 	تو	お前	به	・・・に		
53019	 بهت 	تو	お前	به	・・・に		
61006	 بهت 	تو	お前	به	・・・に		
31024	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
32003	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
32004	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
38008	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
44022	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
46029	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
50074	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
56011	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
59033	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
59075	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
59077	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
34015	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
35002	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
35024	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
36049	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
37031	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
37038	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
37043	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
37051	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
40006	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
41054	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
42004	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
42014	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
44003	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
46002	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
46022	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
49010	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
49015	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
49027	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
49033	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
50004	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
50004	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
50035	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
53019	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
53023	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
53026	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
53028	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
53034	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
53046	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
53102	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
58004	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
58015	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
60003	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
61004	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
62006	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
62011	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
62015	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
62030	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
66012	 بهش 	او	三人称単数人称代名詞（彼、彼女）	به	・・・に		
40007	 بمن 	من	私	به	・・・に		
41033	 بمن 	من	私	به	・・・に		
41034	 بمن 	من	私	به	・・・に		
61021	 بهم 	من	私	به	・・・に		
53071	 بهمون 	ما	私たち	به	・・・に		
50031	 بجایی 	جا	場所	به	・・・に		
54006	 بزمین 	زمین	地面	به	・・・に		
33004	 بهشون 	آنها	彼ら	به	・・・に		
44073	 بهشون 	آنها	彼ら	به	・・・に		
44073	 بهشون 	آنها	彼ら	به	・・・に		
59053	 بهشون 	آنها	彼ら	به	・・・に		
67028	 بسم 	اسم	名前	به	・・・に		
32038	 بهم 	من1		به	・・・に		
49028	 میشدو 	و	そして	شدن	・・・になる		
40019	 شدش 	او	三人称単数人称代名詞（彼、彼女）	شدن	・・・になる		
43019	 شده اند 	بودن	時制	شدن	・・・になる		
54003	 شدنشون 	آنها	彼ら	شدن	・・・になる		
33006	 براتون 	شما	あなた	برای	・・・のために		
31027	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
44084	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
50009	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
33007	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
61023	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
62021	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
62028	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
62034	 براش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
43002	 برایش 	او	三人称単数人称代名詞（彼、彼女）	برای	・・・のために		
52004	 واسش 	او	三人称単数人称代名詞（彼、彼女）	واسه	・・・のために		
64005	 زیرش 	او	三人称単数人称代名詞（彼、彼女）	زیر	・・・の下に		
43020	 زیرپا 	پا	足	زیر	・・・の下に		
35027	 بینشون 	آنها	彼ら	بین	・・・の間に		
35028	 بینشون 	آنها	彼ら	بین	・・・の間に		
36002	 روش 	او	三人称単数人称代名詞（彼、彼女）	رو	・・・の上に		
33009	 توش 	آن	あれ	تو	・・・の中に		
44075	 توش 	او	三人称単数人称代名詞（彼、彼女）	تو	・・・の中に		
45034	 توش 	او	三人称単数人称代名詞（彼、彼女）	تو	・・・の中に		
58005	 توش 	او	三人称単数人称代名詞（彼、彼女）	تو	・・・の中に		
58012	 توراه 	راه	道	تو	・・・の中に		
58012	 توراه 	راه	道	تو	・・・の中に		
58022	 توراه 	راه	道	تو	・・・の中に		
58029	 توراه 	راه	道	تو	・・・の中に		
41021	 رم 	هم	・・もまた	را	・・・を		
37041	 اونه 	آن	あれ	را	・・・を		
37032	 منه 	من	私	را	・・・を		
45009	 منه 	من	私	را	・・・を		
59002	 آبو 	آب	水	را	・・・を		
37035	 بهمدانی 	دانا	学問がある	هم	・・もまた		
45017	 همش 	او	三人称単数人称代名詞（彼、彼女）	هم	・・もまた		
49004	 بغلش 	او	三人称単数人称代名詞（彼、彼女）	بغل	…のそばに（で）		
34037	 درمیون 	میان	・・・の間に	در	…の中に		
31052	 درش 	او	三人称単数人称代名詞（彼、彼女）	در	…の中に		
53011	 درش 	او	三人称単数人称代名詞（彼、彼女）	در	…の中に		
67016	 درش 	او	三人称単数人称代名詞（彼、彼女）	در	…の中に		
39008	 دربالای 	بالا	上部	در	…の中に		
31032	 درشه 	شدن		در	…の中に		
65005	 دونش 	او	三人称単数人称代名詞（彼、彼女）	دانه	…個		
65006	 دونش 	او	三人称単数人称代名詞（彼、彼女）	دانه	…個		
46037	 شماست 	بودن	・・・である	شما	あなた		
53020	 اونه 	را	・・・を	آن	あれ		
53069	 اونه 	را	・・・を	آن	あれ		
33004	 اونو 	را	・・・を	آن	あれ		
34017	 اونو 	را	・・・を	آن	あれ		
36022	 اونو 	را	・・・を	آن	あれ		
40026	 اونو 	را	・・・を	آن	あれ		
40034	 اونو 	را	・・・を	آن	あれ		
43040	 اونو 	را	・・・を	آن	あれ		
65014	 اونو 	را	・・・を	آن	あれ		
71008	 اونو 	را	・・・を	آن	あれ		
49026	 اونم 	هم	・・もまた	آن	あれ		
50018	 اونم 	هم	・・もまた	آن	あれ		
53090	 اونم 	هم	・・もまた	آن	あれ		
62030	 اندفه 	دفعه	回	آن	あれ		
50052	 چقدم 	هم	・・もまた	چقدر	いかほど		
42014	 بابام 	بودن	・・・である	بابا	おとうちゃん		
61007	 بابات 	تو	お前	بابا	おとうちゃん		
62016	 بابات 	تو	お前	بابا	おとうちゃん		
42011	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
42012	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
61004	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
61008	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
61009	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
71007	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
71010	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
71016	 باباش 	او	三人称単数人称代名詞（彼、彼女）	بابا	おとうちゃん		
39018	 بابام 	من	私	بابا	おとうちゃん		
37035	 هرجور 	جور	種類	هر	おのおのの		
34038	 هرجا 	جا	場所	هر	おのおのの		
68004	 هرجا 	جا	場所	هر	おのおのの		
71011	 هرطوری 	طور	方法	هر	おのおのの		
44071	 هرجوری 	جوری	類別	هر	おのおのの		
32003	 هروقت 	وقت		هر	おのおのの		
41041	 توام 	بودن	・・・である	تو	お前		
45023	 ترا 	را	・・・を	تو	お前		
53099	 ترا 	را	・・・を	تو	お前		
46051	 ترو 	را	・・・を	تو	お前		
50072	 ترو 	را	・・・を	تو	お前		
50073	 ترو 	را	・・・を	تو	お前		
50076	 ترو 	را	・・・を	تو	お前		
57052	 غازرم 	من	私	غاز	がちょう		
44044	 اجاقشون 	آنها	彼ら	اجاق	かまど		
56020	 قلاقم 	هم	・・もまた	کلاغ	からす		
53016	 ارزنم 	من	私	ارزن	きび		
52009	 کیلوه 	بودن	・・・である	کیلو	キロ		
41019	 خرجینم 	هم	・・もまた	خرجین	くら袋		
41026	 خرجینو 	و	そして	خرجین	くら袋		
68006	 گردوفروش 	فروش	販売	گردو	くるみ		
54018	 دعوامون 	ما	私たち	دعوا	けんか		
47041	 دعواشان 	آنها	彼ら	دعوا	けんか		
47052	 دعواشان 	آنها	彼ら	دعوا	けんか		
33009	 اینه 	بودن	・・・である	این	この		
34036	 اینه 	بودن	・・・である	این	この		
35009	 اینه 	بودن	・・・である	این	この		
35026	 اینه 	بودن	・・・である	این	この		
43025	 اینه 	بودن	・・・である	این	この		
44048	 اینه 	بودن	・・・である	این	この		
46064	 اینه 	بودن	・・・である	این	この		
46065	 اینه 	بودن	・・・である	این	この		
57049	 اینه 	بودن	・・・である	این	この		
67006	 اینه 	بودن	・・・である	این	この		
33012	 اینکه 	که	・・・であるということ	این	この		
34010	 اینکه 	که	・・・であるということ	این	この		
34014	 اینکه 	که	・・・であるということ	این	この		
34049	 اینکه 	که	・・・であるということ	این	この		
33010	 اینو 	را	・・・を	این	この		
38003	 اینو 	را	・・・を	این	この		
31051	 اینام 	هم	・・もまた	این	この		
47040	 اینام 	هم	・・もまた	این	この		
34043	 ایـنــم 	هم	・・もまた	این	この		
34053	 اینم 	هم	・・もまた	این	この		
37056	 اینم 	هم	・・もまた	این	この		
41018	 اینم 	هم	・・もまた	این	この		
41048	 اینم 	هم	・・もまた	این	この		
42007	 اینم 	هم	・・もまた	این	この		
50057	 اینم 	هم	・・もまた	این	この		
53001	 اینم 	هم	・・もまた	این	この		
53053	 اینم 	هم	・・もまた	این	この		
53090	 اینم 	هم	・・もまた	این	この		
57007	 اینم 	هم	・・もまた	این	この		
59013	 اینم 	هم	・・もまた	این	この		
67024	 اینم 	هم	・・もまた	این	この		
37017	 اینو 	و	そして	این	この		
37045	 اینو 	و	そして	این	この		
62025	 اِندفه 	دفعه	回	این	この		
53082	 این ها	ها	名詞複数形語尾	این	この		
58044	 اینا 	ها	名詞複数形語尾	این	この		
34014	 این نو 	را		این	この		
36033	 این نو 	را		این	この		
42010	 این نو 	را		این	この		
31028	 اینه 	را		این	この		
32025	 اینه 	را		این	この		
37043	 اینه 	را		این	この		
41025	 اینه 	را		این	この		
41037	 اینه 	را		این	この		
48026	 اینه 	را		این	この		
48027	 اینه 	را		این	この		
49021	 اینه 	را		این	この		
53019	 اینه 	را		این	この		
57005	 اینه 	را		این	この		
58046	 اینه 	را		این	この		
71016	 اینه 	را		این	この		
71017	 اینه 	را		این	この		
31052	 اینو 	را		این	この		
34002	 اینو 	را		این	この		
34029	 اینو 	را		این	この		
34029	 اینو 	را		این	この		
34047	 اینو 	را		این	この		
34050	 اینو 	را		این	この		
34050	 اینو 	را		این	この		
34051	 اینو 	را		این	この		
34056	 اینو 	را		این	この		
37015	 اینو 	را		این	この		
41038	 اینو 	را		این	この		
46054	 اینو 	را		این	この		
48028	 اینو 	را		این	この		
49025	 اینو 	را		این	この		
49026	 اینو 	را		این	この		
49031	 اینو 	را		این	この		
53009	 اینو 	را		این	この		
53022	 اینو 	را		این	この		
58003	 اینو 	را		این	この		
58006	 اینو 	را		این	この		
58017	 اینو 	را		این	この		
58033	 اینو 	را		این	この		
59082	 اینو 	را		این	この		
65006	 اینو 	را		این	この		
67002	 اینو 	را		این	この		
71011	 اینو 	را		این	この		
34023	 اینکه 	که1		این	この		
34055	 اینکه 	که1		این	この		
36003	 اینکه 	که1		این	この		
36030	 اینکه 	که1		این	この		
37005	 اینکه 	که1		این	この		
37014	 اینکه 	که1		این	この		
37031	 اینکه 	که1		این	この		
44005	 اینکه 	که1		این	この		
50006	 اینکه 	که1		این	この		
50008	 اینکه 	که1		این	この		
50028	 اینکه 	که1		این	この		
50057	 اینکه 	که1		این	この		
50067	 اینکه 	که1		این	この		
50071	 اینکه 	که1		این	この		
50073	 اینکه 	که1		این	この		
50074	 اینکه 	که1		این	この		
53012	 اینکه 	که1		این	この		
53012	 اینکه 	که1		این	この		
58012	 اینکه 	که1		این	この		
58034	 اینکه 	که1		این	この		
59020	 اینکه 	که1		این	この		
59040	 اینکه 	که1		این	この		
63023	 اینکه 	که1		این	この		
63029	 اینکه 	که1		این	この		
66014	 فلانجا 	جا	場所	فلان	これこれの		
56015	 پیرنش 	او	三人称単数人称代名詞（彼、彼女）	پیراهن	シャツ		
53121	 پیرنمو 	ما	私たち	پیراهن	シャツ		
47017	 نشانش 	او	三人称単数人称代名詞（彼、彼女）	نشان	しるし		
53061	 همش 	او	三人称単数人称代名詞（彼、彼女）	همه	すべて		
50082	 همشون 	آنها	彼ら	همه	すべて		
53122	 همه شون 	آنها	彼ら	همه	すべて		
47032	 اونجاست 	بودن	・・・である	آنجا	そこ（で、に）		
49002	 واون 	آن	あれ	و	そして		
58050	 واین 	این	この	و	そして		
40027	 واتفاقاً 	اتفاقا	偶然に	و	そして		
53084	 گولشون 	آنها	彼ら	گول	だますこと		
46026	 کجاست 	بودن	・・・である	کجا	どこに		
50064	 کجاست 	بودن	・・・である	کجا	どこに		
35011	 کدومش 	او	あれ、それ	کدام	どちら		
35011	 کدومش 	او	あれ、それ	کدام	どちら		
35008	 چیه 	بودن	・・・である	چه	なに		
45018	 چیه 	بودن	・・・である	چه	なに		
45022	 چیه 	بودن	・・・である	چه	なに		
46063	 چیه 	بودن	・・・である	چه	なに		
57025	 چیه 	بودن	・・・である	چه	なに		
58018	 چیه 	بودن	・・・である	چه	なに		
44045	 چیه 	بودن	・・・である	چه	なに		
44046	 چیه 	بودن	・・・である	چه	なに		
47049	 چیه 	بودن	・・・である	چه	なに		
53013	 چیه 	بودن	・・・である	چه	なに		
53062	 چیه 	بودن	・・・である	چه	なに		
58051	 چیه 	بودن	・・・である	چه	なに		
47020	 چیکه 	که	・・・であるということ	چه	なに		
47028	 چیکه 	که	・・・であるということ	چه	なに		
47029	 چیکه 	که	・・・であるということ	چه	なに		
56011	 چکار 	کار	仕事	چه	なに		
56011	 چکار 	کار	仕事	چه	なに		
56012	 چکار 	کار	仕事	چه	なに		
58054	 چکار 	کار	仕事	چه	なに		
61024	 چکار 	کار	仕事	چه	なに		
69014	 چکار 	کار	仕事	چه	なに		
44032	 چیکار 	کار	仕事	چه	なに		
31031	 چیه 	بودن		چه	なに		
31047	 چطور 	طور		چه	なに		
40007	 تشنش 	او	三人称単数人称代名詞（彼、彼女）	تشنه	のどが渇いた		
53029	 تشنه اش 	او	三人称単数人称代名詞（彼、彼女）	تشنه	のどが渇いた		
58023	 کلشون 	آنها	彼ら	کل	はげの		
37030	 حسن 	بودن	・・・である	حسن2	ハサン（人名）		
46031	 نونو 	را	・・・を	نان	パン		
46053	 نونو 	را	・・・を	نان	パン		
46054	 نونو 	را	・・・を	نان	パン		
57016	 نونشو 	او	三人称単数人称代名詞（彼、彼女）	نان	パン		
57016	 نونم 	من	私	نان	パン		
57016	 نونم 	من	私	نان	パン		
34050	 دیگه اش 	او	三人称単数人称代名詞（彼、彼女）	دیگر	ほか		
31017	 جیبش 	 他称-単数-男-_	او	جیب	ポケット		
31017	 جیبش 	 他称-単数-男-_	او	جیب	ポケット		
41023	 جیبش 	او	三人称単数人称代名詞（彼、彼女）	جیب	ポケット		
50040	 همینجور 	جور	種類	همین	まさしくこの		
50037	 همینجوری 	جور	種類	همین	まさしくこの		
60005	 همینجوری 	جور	種類	همین	まさしくこの		
71017	 مامانتو 	تو	お前	مامان	ママ		
53117	 مامانشون 	آنها	彼ら	مامان	ママ		
38005	 چیزهارو 	را	・・・を	چیز	もの		
34010	 چیزم 	هم	・・もまた	چیز	もの		
44085	 چیزا 	ها	名詞複数形語尾	چیز	もの		
67015	 چیزها 	ها	名詞複数形語尾	چیز	もの		
64008	 چیزهای	ها	名詞複数形語尾	چیز	もの		
53023	 ولش 	او	三人称単数人称代名詞（彼、彼女）	ول	ゆるんだ		
53024	 ولش 	او	三人称単数人称代名詞（彼、彼女）	ول	ゆるんだ		
59037	 ولش 	او	三人称単数人称代名詞（彼、彼女）	ول	ゆるんだ		
35008	 فرنگم 	هم	・・もまた	فرنگ	ヨーロッパ		
